query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
01 | 2025-04-10 22:50:04.635 | 19,1 | 2025-04-10 22:50:04.895 | 2,06
02 | 2025-04-10 22:50:04.983 | 31,7 | 2025-04-10 22:50:05.242 | 2,07
03 | 2025-04-10 22:50:05.329 | 15,3 | 2025-04-10 22:50:05.584 | 2,08
04 | 2025-04-10 22:50:05.667 | 31,1 | 2025-04-10 22:50:05.928 | 2,20
04 | 2025-04-10 22:50:06.014 | 55,5 | 2025-04-10 22:50:06.293 | 2,25
04 | 2025-04-10 22:50:06.371 | 36,8 | 2025-04-10 22:50:06.622 | 2,30
04 | 2025-04-10 22:50:06.703 | 27,1 | 2025-04-10 22:50:06.958 | 2,09
05 | 2025-04-10 22:50:07.132 | 0 | 2025-04-10 22:50:07.141 | 0
05 | 2025-04-10 22:50:07.048 | 7,2 | 2025-04-10 22:50:07.303 | 2,09
06 | 2025-04-10 22:50:07.386 | 18,3 | 2025-04-10 22:50:07.648 | 2,11
07 | 2025-04-10 22:50:07.732 | 28,3 | 2025-04-10 22:50:07.991 | 2,21
08 | 2025-04-10 22:50:08.075 | 15,6 | 2025-04-10 22:50:08.333 | 2,12
09 | 2025-04-10 22:50:08.419 | 42,9 | 2025-04-10 22:50:08.666 | 2,14
10 | 2025-04-10 22:50:08.746 | 26,3 | 2025-04-10 22:50:08.972 | 2,13
11 | 2025-04-10 22:50:09.049 | 43,0 | 2025-04-10 22:50:09.333 | 2,20
11 | 2025-04-10 22:50:09.437 | 36,5 | 2025-04-10 22:50:09.727 | 2,20
11 | 2025-04-10 22:50:09.825 | 46,4 | 2025-04-10 22:50:10.091 | 2,21
11 | 2025-04-10 22:50:10.177 | 70,6 | 2025-04-10 22:50:10.448 | 2,13
12 | 2025-04-10 22:50:10.615 | 0 | 2025-04-10 22:50:10.623 | 0
12 | 2025-04-10 22:50:10.543 | 34,7 | 2025-04-10 22:50:10.786 | 2,14
13 | 2025-04-10 22:50:10.872 | 31,3 | 2025-04-10 22:50:11.133 | 2,19
14 | 2025-04-10 22:50:11.218 | 43,5 | 2025-04-10 22:50:11.488 | 2,28
14 | 2025-04-10 22:50:11.592 | 83,8 | 2025-04-10 22:50:11.982 | 2,36
14 | 2025-04-10 22:50:12.070 | 81,3 | 2025-04-10 22:50:12.474 | 2,41
14 | 2025-04-10 22:50:12.578 | 15,9 | 2025-04-10 22:50:12.834 | 2,15
15 | 2025-04-10 22:50:12.915 | 18,3 | 2025-04-10 22:50:13.166 | 2,15
16 | 2025-04-10 22:50:13.331 | 0 | 2025-04-10 22:50:13.338 | 0
16 | 2025-04-10 22:50:13.251 | 17,5 | 2025-04-10 22:50:13.507 | 2,16
17 | 2025-04-10 22:50:13.588 | 33,3 | 2025-04-10 22:50:13.840 | 2,20
18 | 2025-04-10 22:50:13.922 | 35,2 | 2025-04-10 22:50:14.174 | 2,25
19 | 2025-04-10 22:50:14.258 | 20,2 | 2025-04-10 22:50:14.514 | 2,21
20 | 2025-04-10 22:50:14.673 | 0 | 2025-04-10 22:50:14.680 | 0
20 | 2025-04-10 22:50:14.597 | 10,7 | 2025-04-10 22:50:14.853 | 2,21
21 | 2025-04-10 22:50:15.018 | 0 | 2025-04-10 22:50:15.025 | 0
21 | 2025-04-10 22:50:14.941 | 5,8 | 2025-04-10 22:50:15.190 | 2,21
22 | 2025-04-10 22:50:15.275 | 62,3 | 2025-04-10 22:50:15.627 | 2,24
22 | 2025-04-10 22:50:15.759 | 45,9 | 2025-04-10 22:50:16.063 | 2,22
23 | 2025-04-10 22:50:16.148 | 59,7 | 2025-04-10 22:50:16.484 | 2,27
23 | 2025-04-10 22:50:16.642 | 80,2 | 2025-04-10 22:50:17.037 | 2,31
23 | 2025-04-10 22:50:17.188 | 81,7 | 2025-04-10 22:50:17.533 | 2,34
23 | 2025-04-10 22:50:17.674 | 76,2 | 2025-04-10 22:50:18.071 | 2,16
24 | 2025-04-10 22:50:18.166 | 35,8 | 2025-04-10 22:50:18.428 | 2,16
25 | 2025-04-10 22:50:18.513 | 48,1 | 2025-04-10 22:50:18.791 | 2,18
26 | 2025-04-10 22:50:18.889 | 53,6 | 2025-04-10 22:50:19.175 | 2,19
27 | 2025-04-10 22:50:19.274 | 51,8 | 2025-04-10 22:50:19.557 | 2,19
27 | 2025-04-10 22:50:19.645 | 27,2 | 2025-04-10 22:50:19.918 | 2,11
28 | 2025-04-10 22:50:20.004 | 56,6 | 2025-04-10 22:50:20.273 | 2,10
29 | 2025-04-10 22:50:20.356 | 28,9 | 2025-04-10 22:50:20.603 | 2,13
30 | 2025-04-10 22:50:20.688 | 25,3 | 2025-04-10 22:50:20.959 | 2,12
31 | 2025-04-10 22:50:21.119 | 0 | 2025-04-10 22:50:21.127 | 0
31 | 2025-04-10 22:50:21.042 | 12,5 | 2025-04-10 22:50:21.292 | 2,13
32 | 2025-04-10 22:50:21.464 | 0 | 2025-04-10 22:50:21.473 | 0
32 | 2025-04-10 22:50:21.382 | 16,0 | 2025-04-10 22:50:21.642 | 2,13
33 | 2025-04-10 22:50:21.729 | 27,8 | 2025-04-10 22:50:21.980 | 2,11
34 | 2025-04-10 22:50:22.063 | 31,8 | 2025-04-10 22:50:22.313 | 2,10
35 | 2025-04-10 22:50:22.396 | 51,1 | 2025-04-10 22:50:22.675 | 2,17
35 | 2025-04-10 22:50:22.780 | 15,0 | 2025-04-10 22:50:23.041 | 2,14
36 | 2025-04-10 22:50:23.123 | 33,1 | 2025-04-10 22:50:23.373 | 2,21
36 | 2025-04-10 22:50:23.456 | 50,2 | 2025-04-10 22:50:23.774 | 2,18
37 | 2025-04-10 22:50:23.968 | 0 | 2025-04-10 22:50:23.976 | 0
37 | 2025-04-10 22:50:23.869 | 29,1 | 2025-04-10 22:50:24.139 | 2,18
38 | 2025-04-10 22:50:24.231 | 56,8 | 2025-04-10 22:50:24.541 | 2,22
39 | 2025-04-10 22:50:24.654 | 39,5 | 2025-04-10 22:50:24.922 | 2,23
39 | 2025-04-10 22:50:25.005 | 27,7 | 2025-04-10 22:50:25.264 | 2,16
40 | 2025-04-10 22:50:25.425 | 0 | 2025-04-10 22:50:25.434 | 0
40 | 2025-04-10 22:50:25.347 | 6,9 | 2025-04-10 22:50:25.597 | 2,17
41 | 2025-04-10 22:50:25.681 | 11,9 | 2025-04-10 22:50:25.933 | 2,18
42 | 2025-04-10 22:50:26.012 | 15,0 | 2025-04-10 22:50:26.262 | 2,15
43 | 2025-04-10 22:50:26.347 | 25,1 | 2025-04-10 22:50:26.598 | 2,14
44 | 2025-04-10 22:50:26.683 | 36,5 | 2025-04-10 22:50:26.941 | 2,17
45 | 2025-04-10 22:50:27.029 | 16,8 | 2025-04-10 22:50:27.291 | 2,15
46 | 2025-04-10 22:50:27.376 | 29,8 | 2025-04-10 22:50:27.626 | 2,19
47 | 2025-04-10 22:50:27.801 | 0 | 2025-04-10 22:50:27.809 | 0
47 | 2025-04-10 22:50:27.717 | 10,3 | 2025-04-10 22:50:27.982 | 2,15
48 | 2025-04-10 22:50:28.074 | 30,0 | 2025-04-10 22:50:28.332 | 2,14
49 | 2025-04-10 22:50:28.416 | 22,0 | 2025-04-10 22:50:28.676 | 2,15
50 | 2025-04-10 22:50:28.762 | 26,8 | 2025-04-10 22:50:29.022 | 2,15
51 | 2025-04-10 22:50:29.103 | 50,7 | 2025-04-10 22:50:29.396 | 2,22
51 | 2025-04-10 22:50:29.485 | 49,2 | 2025-04-10 22:50:29.746 | 2,26
51 | 2025-04-10 22:50:29.823 | 4,6 | 2025-04-10 22:50:30.069 | 2,11
52 | 2025-04-10 22:50:30.153 | 14,9 | 2025-04-10 22:50:30.404 | 2,13
53 | 2025-04-10 22:50:30.489 | 17,2 | 2025-04-10 22:50:30.742 | 2,10
54 | 2025-04-10 22:50:30.828 | 13,0 | 2025-04-10 22:50:31.081 | 2,12
55 | 2025-04-10 22:50:31.168 | 15,1 | 2025-04-10 22:50:31.427 | 2,15
56 | 2025-04-10 22:50:31.509 | 20,6 | 2025-04-10 22:50:31.764 | 2,20
57 | 2025-04-10 22:50:31.928 | 0 | 2025-04-10 22:50:31.936 | 0
57 | 2025-04-10 22:50:31.849 | 6,3 | 2025-04-10 22:50:32.100 | 2,19
58 | 2025-04-10 22:50:32.269 | 0 | 2025-04-10 22:50:32.277 | 0
58 | 2025-04-10 22:50:32.184 | 6,7 | 2025-04-10 22:50:32.441 | 2,18
59 | 2025-04-10 22:50:32.524 | 46,0 | 2025-04-10 22:50:32.773 | 2,18
60 | 2025-04-10 22:50:32.858 | 21,8 | 2025-04-10 22:50:33.113 | 2,14
61 | 2025-04-10 22:50:33.196 | 17,8 | 2025-04-10 22:50:33.454 | 2,14
62 | 2025-04-10 22:50:33.535 | 18,2 | 2025-04-10 22:50:33.787 | 2,16
63 | 2025-04-10 22:50:33.872 | 17,4 | 2025-04-10 22:50:34.128 | 2,18
64 | 2025-04-10 22:50:34.212 | 31,1 | 2025-04-10 22:50:34.483 | 2,22
64 | 2025-04-10 22:50:34.566 | 9,7 | 2025-04-10 22:50:34.838 | 2,15
65 | 2025-04-10 22:50:34.921 | 40,9 | 2025-04-10 22:50:35.197 | 2,22
66 | 2025-04-10 22:50:35.281 | 21,5 | 2025-04-10 22:50:35.537 | 2,22
67 | 2025-04-10 22:50:35.625 | 38,5 | 2025-04-10 22:50:35.948 | 2,27
67 | 2025-04-10 22:50:36.069 | 77,0 | 2025-04-10 22:50:36.393 | 2,45
67 | 2025-04-10 22:50:36.511 | 78,0 | 2025-04-10 22:50:36.855 | 2,57
67 | 2025-04-10 22:50:36.977 | 15,7 | 2025-04-10 22:50:37.234 | 2,13
68 | 2025-04-10 22:50:37.317 | 32,7 | 2025-04-10 22:50:37.566 | 2,19
69 | 2025-04-10 22:50:37.650 | 37,7 | 2025-04-10 22:50:37.900 | 2,21
70 | 2025-04-10 22:50:37.982 | 39,2 | 2025-04-10 22:50:38.235 | 2,22
71 | 2025-04-10 22:50:38.320 | 24,3 | 2025-04-10 22:50:38.571 | 2,25
72 | 2025-04-10 22:50:38.735 | 0 | 2025-04-10 22:50:38.742 | 0
72 | 2025-04-10 22:50:38.657 | 20,0 | 2025-04-10 22:50:38.909 | 2,26
73 | 2025-04-10 22:50:38.998 | 67,2 | 2025-04-10 22:50:39.278 | 2,27
74 | 2025-04-10 22:50:39.371 | 40,9 | 2025-04-10 22:50:39.656 | 2,27
74 | 2025-04-10 22:50:39.744 | 52,8 | 2025-04-10 22:50:40.004 | 2,28
74 | 2025-04-10 22:50:40.089 | 47,8 | 2025-04-10 22:50:40.353 | 2,18
75 | 2025-04-10 22:50:40.449 | 55,5 | 2025-04-10 22:50:40.765 | 2,23
75 | 2025-04-10 22:50:40.863 | 36,3 | 2025-04-10 22:50:41.136 | 2,22
76 | 2025-04-10 22:50:41.223 | 32,4 | 2025-04-10 22:50:41.486 | 2,17
77 | 2025-04-10 22:50:41.655 | 0 | 2025-04-10 22:50:41.665 | 0
77 | 2025-04-10 22:50:41.572 | 56,7 | 2025-04-10 22:50:41.833 | 2,17
78 | 2025-04-10 22:50:41.917 | 44,8 | 2025-04-10 22:50:42.211 | 2,29
78 | 2025-04-10 22:50:42.320 | 53,3 | 2025-04-10 22:50:42.593 | 2,23
79 | 2025-04-10 22:50:42.685 | 36,5 | 2025-04-10 22:50:42.955 | 2,25
80 | 2025-04-10 22:50:43.126 | 0 | 2025-04-10 22:50:43.135 | 0
80 | 2025-04-10 22:50:43.041 | 17,2 | 2025-04-10 22:50:43.300 | 2,18
81 | 2025-04-10 22:50:43.387 | 44,0 | 2025-04-10 22:50:43.654 | 2,20
82 | 2025-04-10 22:50:43.851 | 0 | 2025-04-10 22:50:43.860 | 0
82 | 2025-04-10 22:50:43.753 | 34,6 | 2025-04-10 22:50:44.037 | 2,16
83 | 2025-04-10 22:50:44.133 | 30,5 | 2025-04-10 22:50:44.389 | 2,16
84 | 2025-04-10 22:50:44.473 | 37,8 | 2025-04-10 22:50:44.739 | 2,17
85 | 2025-04-10 22:50:44.914 | 0 | 2025-04-10 22:50:44.925 | 0
85 | 2025-04-10 22:50:44.832 | 16,5 | 2025-04-10 22:50:45.084 | 2,17
86 | 2025-04-10 22:50:45.171 | 22,9 | 2025-04-10 22:50:45.416 | 2,14
87 | 2025-04-10 22:50:45.499 | 43,6 | 2025-04-10 22:50:45.754 | 2,12
88 | 2025-04-10 22:50:45.837 | 46,4 | 2025-04-10 22:50:46.103 | 2,13
89 | 2025-04-10 22:50:46.189 | 30,2 | 2025-04-10 22:50:46.433 | 2,12
90 | 2025-04-10 22:50:46.519 | 59,0 | 2025-04-10 22:50:46.780 | 2,13
91 | 2025-04-10 22:50:46.868 | 20,9 | 2025-04-10 22:50:47.117 | 2,12
92 | 2025-04-10 22:50:47.284 | 0 | 2025-04-10 22:50:47.291 | 0
92 | 2025-04-10 22:50:47.209 | 11,7 | 2025-04-10 22:50:47.460 | 2,12
93 | 2025-04-10 22:50:47.551 | 23,5 | 2025-04-10 22:50:47.810 | 2,12
94 | 2025-04-10 22:50:47.987 | 0 | 2025-04-10 22:50:47.997 | 0
