query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
01 | 2025-04-10 22:51:10.939 | 20,4 | 2025-04-10 22:51:11.213 | 2,09
02 | 2025-04-10 22:51:11.299 | 31,3 | 2025-04-10 22:51:11.560 | 2,08
03 | 2025-04-10 22:51:11.648 | 15,6 | 2025-04-10 22:51:11.905 | 2,09
04 | 2025-04-10 22:51:11.990 | 61,6 | 2025-04-10 22:51:12.246 | 2,16
04 | 2025-04-10 22:51:12.336 | 57,8 | 2025-04-10 22:51:12.604 | 2,27
04 | 2025-04-10 22:51:12.681 | 31,0 | 2025-04-10 22:51:12.929 | 2,30
04 | 2025-04-10 22:51:13.007 | 16,4 | 2025-04-10 22:51:13.261 | 2,12
05 | 2025-04-10 22:51:13.433 | 0 | 2025-04-10 22:51:13.440 | 0
05 | 2025-04-10 22:51:13.348 | 6,2 | 2025-04-10 22:51:13.600 | 2,11
06 | 2025-04-10 22:51:13.682 | 17,9 | 2025-04-10 22:51:13.941 | 2,14
07 | 2025-04-10 22:51:14.024 | 29,4 | 2025-04-10 22:51:14.281 | 2,23
08 | 2025-04-10 22:51:14.367 | 18,7 | 2025-04-10 22:51:14.630 | 2,19
09 | 2025-04-10 22:51:14.711 | 43,6 | 2025-04-10 22:51:14.969 | 2,17
10 | 2025-04-10 22:51:15.051 | 23,2 | 2025-04-10 22:51:15.310 | 2,18
11 | 2025-04-10 22:51:15.396 | 33,0 | 2025-04-10 22:51:15.652 | 2,23
11 | 2025-04-10 22:51:15.736 | 27,2 | 2025-04-10 22:51:15.983 | 2,24
11 | 2025-04-10 22:51:16.070 | 27,3 | 2025-04-10 22:51:16.320 | 2,27
11 | 2025-04-10 22:51:16.401 | 6,4 | 2025-04-10 22:51:16.652 | 2,12
12 | 2025-04-10 22:51:16.819 | 0 | 2025-04-10 22:51:16.827 | 0
12 | 2025-04-10 22:51:16.735 | 9,0 | 2025-04-10 22:51:16.990 | 2,12
13 | 2025-04-10 22:51:17.074 | 32,6 | 2025-04-10 22:51:17.333 | 2,17
14 | 2025-04-10 22:51:17.420 | 36,4 | 2025-04-10 22:51:17.691 | 2,26
14 | 2025-04-10 22:51:17.801 | 83,1 | 2025-04-10 22:51:18.149 | 2,36
14 | 2025-04-10 22:51:18.244 | 80,6 | 2025-04-10 22:51:18.575 | 2,33
15 | 2025-04-10 22:51:18.659 | 15,6 | 2025-04-10 22:51:18.916 | 2,17
16 | 2025-04-10 22:51:19.087 | 0 | 2025-04-10 22:51:19.096 | 0
16 | 2025-04-10 22:51:18.999 | 6,1 | 2025-04-10 22:51:19.258 | 2,15
17 | 2025-04-10 22:51:19.342 | 24,0 | 2025-04-10 22:51:19.605 | 2,20
18 | 2025-04-10 22:51:19.692 | 25,8 | 2025-04-10 22:51:19.952 | 2,21
