query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
1 | 2025-04-11 16:53:47.189 | 42,5 | 2025-04-11 16:53:47.444 | 2,07
2 | 2025-04-11 16:53:47.526 | 13,6 | 2025-04-11 16:53:47.780 | 2,08
3 | 2025-04-11 16:53:47.861 | 27,4 | 2025-04-11 16:53:48.116 | 2,12
4 | 2025-04-11 16:53:48.198 | 32,8 | 2025-04-11 16:53:48.455 | 2,13
5 | 2025-04-11 16:53:48.537 | 33,9 | 2025-04-11 16:53:48.792 | 2,13
6 | 2025-04-11 16:53:48.876 | 17,6 | 2025-04-11 16:53:49.126 | 2,16
7 | 2025-04-11 16:53:49.208 | 32,6 | 2025-04-11 16:53:49.465 | 2,21
8 | 2025-04-11 16:53:49.555 | 29,4 | 2025-04-11 16:53:49.814 | 2,15
9 | 2025-04-11 16:53:49.896 | 45,7 | 2025-04-11 16:53:50.176 | 2,26
9 | 2025-04-11 16:53:50.259 | 69,8 | 2025-04-11 16:53:50.554 | 2,16
10 | 2025-04-11 16:53:50.647 | 35,2 | 2025-04-11 16:53:50.900 | 2,23
10 | 2025-04-11 16:53:50.991 | 30,3 | 2025-04-11 16:53:51.269 | 2,23
11 | 2025-04-11 16:53:51.354 | 12,1 | 2025-04-11 16:53:51.603 | 2,23
12 | 2025-04-11 16:53:51.689 | 29,1 | 2025-04-11 16:53:51.940 | 2,20
13 | 2025-04-11 16:53:52.023 | 58,2 | 2025-04-11 16:53:52.296 | 2,25
13 | 2025-04-11 16:53:52.383 | 6,3 | 2025-04-11 16:53:52.630 | 2,18
14 | 2025-04-11 16:53:52.713 | 22,1 | 2025-04-11 16:53:52.963 | 2,23
15 | 2025-04-11 16:53:53.048 | 48,6 | 2025-04-11 16:53:53.310 | 2,21
16 | 2025-04-11 16:53:53.398 | 49,2 | 2025-04-11 16:53:53.666 | 2,18
17 | 2025-04-11 16:53:53.751 | 43,5 | 2025-04-11 16:53:54.017 | 2,17
18 | 2025-04-11 16:53:54.101 | 64,3 | 2025-04-11 16:53:54.468 | 2,23
18 | 2025-04-11 16:53:54.580 | 53,9 | 2025-04-11 16:53:54.861 | 2,17
19 | 2025-04-11 16:53:54.972 | 46,2 | 2025-04-11 16:53:55.259 | 2,18
19 | 2025-04-11 16:53:55.347 | 10,7 | 2025-04-11 16:53:55.603 | 2,07
20 | 2025-04-11 16:53:55.686 | 32,9 | 2025-04-11 16:53:55.934 | 2,08
21 | 2025-04-11 16:53:56.017 | 43,2 | 2025-04-11 16:53:56.301 | 2,16
21 | 2025-04-11 16:53:56.401 | 9,1 | 2025-04-11 16:53:56.656 | 2,09
22 | 2025-04-11 16:53:56.742 | 24,1 | 2025-04-11 16:53:56.990 | 2,08
