query_id,time(ms)
1,142.5
2,145.5
3,92.5
4,4527.5
5,226.0
6,208.0
7,198.0
8,116.5
9,317.0
10,104.0
11,2823.0
12,69.0
13,228.0
14,2462.0
15,76.0
16,44.0
17,204.0
18,201.5
19,143.0
20,44.0
21,20.0
22,167.0
23,972.0
24,177.0
25,199.5
26,71.0
27,205.0
28,308.0
29,190.0
30,116.0
31,171.5
32,23.0
33,145.0
34,128.0
35,256.0
36,181.5
37,19.0
38,215.0
39,64.5
40,124.5
41,16.5
42,84.0
43,123.0
44,167.0
45,150.5
46,314.5
47,363.0
48,201.5
49,189.5
50,168.0
51,1277.0
52,101.5
53,126.0
54,183.5
55,94.0
56,152.5
57,114.0
58,128.5
59,279.0
60,155.0
61,43.5
62,74.0
63,117.5
64,449.0
65,281.5
66,133.5
67,2301.5
68,228.0
69,120.0
70,161.0
71,129.0
72,619.5
73,123.0
74,1929.0
75,456.0
76,179.5
77,172.5
78,870.0
79,220.0
80,373.5
81,152.0
82,54.0
83,47.5
84,40.0
85,162.5
86,75.0
87,250.0
88,243.5
89,127.5
90,37.0
91,36.0
92,46.5
93,200.0
94,76.5
95,1119.5
96,71.5
97,348.5
98,119.5
99,83.0
