query_id, real_time(s), user_time(s), sys_time(s)
01, 0.755, 1.415525, 0.787812
02, 6.199, 7.618138, 1.453126
03, 9.361, 2.639433, 2.060533
04, 24.349, 52.935759, 8.422544
05, 11.257, 7.503306, 4.164914
06, 0.361, 2.573568, 1.837958
07, 3.772, 5.188069, 3.433138
08, 0.240, 2.985968, 1.975510
09, 0.913, 16.104181, 10.674006
10, 0.214, 2.386283, 1.563055
11, 3.235, 33.840881, 6.141525
13, 0.583, 7.610048, 5.000509
14, 15.007, 286.673563, 18.275427
14, 8.039, 191.163406, 4.999823
15, 0.133, 0.727183, 0.268710
16, 0.104, 0.250313, 0.392787
17, 0.456, 4.619714, 3.692333
18, 2.013, 2.053873, 1.188594
19, 0.331, 3.282821, 3.446702
22, 6.063, 80.457192, 94.322495
23, 3.545, 79.895230, 14.318167
23, 3.322, 81.569041, 10.413368
24, 0.425, 5.912629, 3.650884
24, 0.187, 4.930678, 0.037418
25, 0.546, 4.081615, 4.940838
26, 1.142, 0.980197, 0.772692
27, 2.334, 5.182351, 3.784835
28, 2.153, 17.051964, 2.177594
29, 1.098, 5.541735, 4.063145
30, 0.204, 1.008611, 0.478517
31, 0.642, 6.206451, 3.002923
33, 0.365, 3.175586, 4.509518
34, 0.252, 3.648466, 2.106371
35, 0.657, 6.792997, 2.273562
36, 0.433, 8.018552, 3.433934
38, 0.523, 11.330959, 1.902586
39, 0.175, 2.359597, 1.112345
39, 0.122, 2.529201, 0.236540
41, 0.029, 0.057628, 0.020808
42, 0.202, 2.041119, 2.356533
43, 0.253, 4.610701, 2.062635
44, 0.346, 5.132308, 3.435640
45, 0.205, 1.125984, 0.997666
46, 0.495, 6.128164, 3.771602
47, 0.778, 16.884148, 4.677283
48, 0.496, 7.272597, 3.612513
49, 3.550, 4.550569, 4.052028
50, 0.374, 7.097190, 2.643324
51, 4.470, 46.314733, 12.190156
52, 0.212, 2.194502, 2.290316
53, 0.267, 3.034855, 2.884966
54, 0.372, 3.549894, 3.069315
55, 0.218, 2.210224, 2.309587
56, 0.379, 3.503334, 4.555769
57, 0.335, 5.861315, 1.234628
58, 0.317, 2.323032, 3.430394
59, 0.882, 19.311258, 3.426970
60, 0.390, 3.542483, 4.646665
61, 0.035, 0.177314, 0.217643
62, 0.275, 2.435173, 0.841515
63, 0.245, 3.050848, 2.783161
64, 4.647, 17.326966, 6.477394
65, 0.913, 19.272707, 4.358677
66, 0.519, 2.128892, 1.854741
67, 27.313, 286.624469, 238.170934
68, 13.504, 5.608500, 4.853177
69, 0.303, 2.555230, 1.844870
70, 0.429, 7.687088, 2.272424
71, 0.355, 3.370159, 3.311359
72, 2.341, 4.391073, 2.095220
73, 0.252, 3.458169, 2.220068
74, 4.189, 23.234754, 4.380062
75, 3.401, 15.099106, 6.150000
76, 2.691, 4.916624, 4.906546
78, 4.235, 39.038126, 9.620213
79, 1.369, 5.498024, 3.401738
81, 0.281, 1.506086, 0.530489
83, 0.086, 0.477585, 0.507976
84, 0.067, 0.583417, 0.225436
85, 1.757, 2.521028, 1.765818
86, 0.132, 1.891888, 0.783812
87, 0.590, 12.744617, 1.911277
88, 0.582, 13.430209, 2.829017
89, 0.342, 4.147163, 2.889008
90, 0.091, 0.835904, 0.578197
91, 0.060, 0.157130, 0.155810
93, 0.877, 15.390379, 3.347339
96, 0.168, 1.952081, 1.835729
97, 0.670, 14.198153, 3.366877
99, 0.194, 3.868984, 0.530110
