query_id,time(ms)
1,78.0
2,65.0
3,83.0
4,1133.0
5,89.0
6,78.0
7,104.0
8,56.0
9,56.0
10,52.0
11,490.0
13,62.0
14,287.0
15,52.0
17,78.0
18,101.0
19,46.0
22,430.0
23,170.0
24,50.0
25,35.0
26,61.0
27,86.0
28,59.0
29,61.0
30,70.0
31,66.0
33,41.0
34,41.0
35,94.0
36,298.0
38,66.0
39,59.0
41,16.0
42,27.0
43,46.0
44,14.0
45,66.0
46,113.0
47,117.0
48,58.0
49,59.0
50,46.0
51,480.0
52,32.0
53,38.0
54,47.0
55,30.0
56,46.0
57,78.0
58,44.0
59,73.0
60,54.0
61,33.0
62,29.0
63,33.0
64,119.0
65,78.0
66,53.0
67,473.0
68,68.0
69,51.0
70,50.0
71,54.0
72,161.0
73,38.0
74,318.0
75,101.0
76,51.0
78,140.0
79,58.0
81,100.0
83,22.0
84,27.0
85,59.0
86,37.0
87,72.0
88,59.0
89,47.0
90,15.0
91,27.0
93,62.0
94,36.0
96,19.0
97,72.0
99,37.0
