query_id, real_time(s), user_time(s), sys_time(s)
1, 0.017, 0.142015, 0.117123
2, 0.023, 0.048221, 0.038121
3, 0.040, 0.172107, 0.089368
4, 0.023, 0.116548, 0.073185
5, 0.034, 0.108655, 0.148605
6, 0.012, 0.054364, 0.056334
7, 0.035, 0.144757, 0.159664
8, 0.031, 0.094737, 0.150798
9, 0.065, 0.296697, 0.301498
10, 0.078, 0.266219, 0.251877
11, 0.010, 0.026548, 0.032740
12, 0.024, 0.105802, 0.112482
13, 0.062, 0.268629, 0.101279
14, 0.028, 0.090159, 0.099831
14, 0.002, 0.000338, 0.000353
15, 0.026, 0.114560, 0.135377
15, 0.002, 0.000000, 0.000519
16, 0.028, 0.077187, 0.072873
17, 0.028, 0.121981, 0.134870
18, 0.040, 0.252179, 0.147564
19, 0.034, 0.133146, 0.145434
20, 0.032, 0.122925, 0.119902
21, 0.057, 0.336990, 0.161007
22, 0.033, 0.051686, 0.030861
