query_id,cpu_used(%),ram_used(gb),time(ms)
1,15.9,0.8,40.0
2,54.1,0.8,92.0
3,15.9,0.81,27.0
4,62.5,0.83,728.0
5,33.9,0.75,66.0
6,16.1,0.76,43.0
7,41.9,0.78,90.0
8,21.0,0.77,46.0
9,73.8,0.76,116.0
10,27.4,0.77,51.0
11,63.5,0.83,425.0
12,11.3,0.82,26.0
13,46.0,0.83,92.0
14,92.4,0.92,415.0
15,12.7,0.79,32.0
16,19.0,0.8,37.0
17,25.8,0.8,57.0
18,31.1,0.79,74.0
19,19.7,0.76,45.0
20,9.8,0.76,22.0
21,9.7,0.76,14.0
22,83.3,0.77,381.0
23,93.8,0.85,361.0
24,8.1,0.78,10.0
25,14.5,0.79,36.0
26,20.3,0.81,44.0
27,41.3,0.78,91.0
28,81.0,0.79,135.0
29,31.7,0.75,64.0
30,16.4,0.76,46.0
31,31.1,0.76,64.0
32,11.5,0.77,18.0
33,19.4,0.79,40.0
34,22.6,0.8,44.0
35,53.1,0.78,100.0
36,39.7,0.8,133.0
37,6.5,0.8,11.0
38,43.5,0.8,82.0
39,54.8,0.81,70.0
40,9.4,0.81,25.0
41,6.3,0.8,12.0
42,14.3,0.79,25.0
43,33.9,0.79,53.0
44,46.0,0.8,77.0
45,11.3,0.8,29.0
46,35.5,0.8,85.0
47,76.9,0.82,197.0
48,41.9,0.72,81.0
49,25.8,0.73,53.0
50,33.9,0.75,58.0
51,78.1,0.8,414.0
52,14.5,0.8,25.0
53,19.4,0.79,38.0
54,11.3,0.79,23.0
55,14.3,0.8,25.0
56,24.6,0.82,47.0
57,42.2,0.85,85.0
58,17.7,0.85,35.0
59,83.9,0.87,147.0
60,23.8,0.88,49.0
61,14.3,0.88,27.0
62,15.9,0.88,29.0
63,20.6,0.88,38.0
64,69.2,0.88,158.0
65,55.6,0.81,99.0
66,18.8,0.79,43.0
67,97.0,0.97,830.0
68,32.8,0.87,72.0
69,28.1,0.88,53.0
70,35.5,0.89,62.0
71,19.7,0.88,42.0
72,50.0,0.91,140.0
73,21.0,0.92,39.0
74,59.7,0.94,279.0
75,54.7,0.87,120.0
76,29.0,0.86,57.0
77,22.6,0.87,49.0
78,76.9,0.91,244.0
79,33.9,0.92,68.0
80,46.8,0.85,96.0
81,17.5,0.86,55.0
82,12.7,0.86,22.0
83,9.5,0.86,17.0
84,11.3,0.86,26.0
85,25.8,0.86,61.0
86,12.9,0.86,26.0
87,50.8,0.86,90.0
88,67.7,0.86,126.0
89,23.8,0.85,46.0
90,8.1,0.84,13.0
91,20.6,0.83,35.0
92,8.1,0.83,16.0
93,11.3,0.83,23.0
94,12.9,0.83,27.0
95,70.3,0.83,280.0
96,12.9,0.8,23.0
97,49.2,0.8,91.0
98,17.7,0.8,38.0
99,22.6,0.8,44.0
