query_id,cpu_used(%),ram_used(gb),time(ms)
1,57.5,1.19,372.0
2,77.73,1.19,1463.0
3,62.75,1.08,396.0
4,61.16,2.24,9222.0
5,65.2,1.29,1177.0
6,53.55,1.17,445.0
7,58.75,1.38,906.0
8,66.65,1.2,473.0
9,89.71,1.34,2536.0
10,65.05,1.2,385.0
11,63.49,2.01,6064.0
12,3.2,1.1,
13,74.64,1.41,1265.0
14,83.94,2.97,9087.0
15,34.9,1.26,91.0
16,4.8,1.26,
17,53.85,1.24,764.0
18,57.15,0.98,372.0
19,46.9,1.19,562.0
20,3.2,1.09,
21,4.8,1.1,
22,81.4,1.12,696.0
23,88.44,3.17,7784.0
24,81.86,1.51,671.5
25,67.1,1.2,733.0
26,69.2,0.94,174.0
27,62.45,1.23,938.0
28,81.7,1.32,2453.0
29,54.35,1.17,850.0
30,46.9,0.89,145.0
31,74.53,1.15,770.0
32,3.2,0.79,
33,50.57,1.08,591.0
34,56.17,1.07,596.0
35,54.0,1.15,839.0
36,68.24,1.25,1168.0
37,3.2,1.09,
38,76.96,1.23,1218.0
39,59.4,1.24,85.0
40,4.8,1.24,
41,6.3,1.23,13.0
42,60.7,1.23,387.0
43,77.05,1.17,944.0
44,87.15,1.01,510.0
45,31.75,0.99,236.0
46,52.4,1.26,1365.0
47,76.02,1.45,2288.0
48,64.7,1.43,1133.0
49,51.05,1.39,799.0
50,67.5,1.28,1131.0
51,83.71,1.58,4463.0
52,60.45,0.98,389.0
53,66.9,1.25,478.0
54,45.67,1.31,526.0
55,62.7,1.28,388.0
56,55.2,1.32,623.0
57,86.95,1.15,514.0
58,62.75,1.39,419.0
59,90.48,1.16,2485.0
60,62.03,1.26,664.0
61,14.3,1.25,28.0
62,61.1,1.23,340.0
63,68.55,1.38,471.0
64,74.28,1.48,2468.0
65,76.24,1.48,2065.0
66,62.5,1.01,376.0
67,85.07,3.91,14131.0
68,59.56,1.31,1038.0
69,19.0,0.92,43.0
70,83.17,1.18,1066.0
71,49.43,1.19,579.0
72,48.0,1.2,939.0
73,53.3,1.28,566.0
74,60.94,1.7,4006.0
75,72.72,1.61,2171.0
76,59.32,1.25,908.0
77,3.2,1.0,
78,78.3,2.35,5402.0
79,78.72,1.48,1025.0
80,3.2,1.17,
81,50.8,1.2,214.0
82,3.2,1.2,
83,40.3,1.2,78.0
84,53.1,1.2,98.0
85,71.45,1.25,470.0
86,76.6,0.95,238.0
87,88.3,1.14,1390.0
88,87.7,1.05,1986.0
89,59.57,0.98,619.0
90,71.0,1.02,130.0
91,24.2,1.05,51.0
92,1.6,1.05,
93,42.4,1.11,308.0
94,3.2,1.1,
95,3.2,1.1,
96,55.05,1.19,341.0
97,77.71,1.5,2083.0
98,3.2,1.13,
99,90.55,1.13,475.0
