query_id,real_time(s),user_time(s),sys_time(s)
1,0.372,0.980398,0.195448
2,1.463,5.417567,0.25358
3,0.396,1.111858,0.416932
4,9.222,22.973914,2.224714
5,1.177,3.521608,0.94531
6,0.445,1.069806,0.340056
7,0.906,2.561797,0.875283
8,0.473,1.330976,0.387876
9,2.536,9.348675,0.490132
10,0.385,1.168641,0.254851
11,6.064,15.490626,1.551286
13,1.265,3.852715,0.974132
14,10.645,37.016696,3.208814
15,0.091,0.192467,0.032944
17,0.764,2.247149,0.602329
18,0.372,0.995827,0.250166
19,0.562,1.528554,0.582718
22,0.696,2.546979,0.051634
23,7.948,27.737939,3.020808
24,0.81,2.395752,0.678861
25,0.733,1.970278,0.782105
26,0.174,0.507155,0.111492
27,0.938,2.64452,0.879486
28,2.453,9.001635,0.509294
29,0.85,2.51006,0.689871
30,0.145,0.290607,0.06283
31,0.77,2.339164,0.604075
33,0.591,1.545063,0.714743
34,0.596,1.906255,0.371638
35,0.839,2.512718,0.397704
36,1.168,3.810109,0.682298
38,1.218,4.278213,0.41545
39,0.09,0.214472,0.056078
41,0.013,0.015425,0.00352
42,0.387,1.09237,0.400396
43,0.944,3.270252,0.381555
44,0.51,1.873263,0.096133
45,0.236,0.515057,0.152445
46,1.365,3.505744,0.77222
47,2.288,7.746678,1.054656
48,1.133,3.61283,0.679631
49,0.799,2.172343,0.881617
50,1.131,3.8312,0.542245
51,4.463,15.355545,1.236133
52,0.389,1.103948,0.398769
53,0.478,1.31551,0.508219
54,0.526,1.443009,0.53425
55,0.388,1.094419,0.403628
56,0.623,1.68351,0.703571
57,0.514,1.83784,0.117713
58,0.419,1.095634,0.507142
59,2.485,9.185006,0.38137
60,0.664,1.812793,0.740834
61,0.028,0.065765,0.020246
62,0.34,1.177978,0.095858
63,0.471,1.295192,0.492811
64,2.468,8.063623,1.206762
65,2.065,7.103167,0.854588
66,0.376,1.125258,0.296093
67,14.131,48.010974,6.413972
68,1.038,3.069069,0.884197
69,0.043,0.095392,0.027111
70,1.066,3.738385,0.366689
71,0.579,1.642759,0.527776
72,0.939,2.139224,0.474905
73,0.566,1.789971,0.371963
74,4.006,9.864211,1.198282
75,2.171,6.945981,1.217209
76,0.908,2.557847,0.938509
78,5.402,18.339755,2.249661
79,1.025,3.199666,0.682046
81,0.214,0.503769,0.094173
83,0.078,0.22857,0.064145
84,0.098,0.31554,0.030272
85,0.47,1.349754,0.358081
86,0.238,0.792091,0.116529
87,1.39,4.907238,0.439439
88,1.986,7.319753,0.318609
89,0.619,1.875073,0.493918
90,0.13,0.421442,0.086064
91,0.051,0.126995,0.021558
93,0.308,0.81388,0.199049
96,0.341,1.021587,0.291684
97,2.083,7.22561,0.759543
99,0.475,1.759143,0.072001
