query_id,cpu_used(%),ram_used(gb),time(ms)
1,21.0,0.81,63.0
2,87.5,0.83,161.0
3,24.2,0.8,44.0
4,66.1,0.94,1346.0
5,55.6,0.72,116.0
6,22.6,0.73,66.0
7,60.3,0.85,161.0
8,30.6,0.7,71.0
9,80.0,0.73,234.0
10,35.5,0.72,68.0
11,54.8,0.83,882.0
12,3.2,0.71,
13,67.7,0.8,154.0
14,92.3,0.98,800.0
15,11.5,0.65,42.0
16,3.2,0.65,
17,42.2,0.69,99.0
18,40.3,0.72,105.0
19,36.1,0.7,75.0
20,3.2,0.7,
21,1.6,0.7,
22,98.5,0.72,552.0
23,93.8,1.15,905.5
24,41.9,0.91,46.5
25,16.4,0.91,44.0
26,25.8,0.91,62.0
27,58.7,1.0,167.0
28,78.5,0.92,261.0
29,45.2,0.95,102.0
30,14.5,0.95,59.0
31,49.2,0.95,101.0
32,3.2,0.95,
33,31.1,0.96,72.0
34,35.5,0.93,72.0
35,72.1,0.98,159.0
36,54.0,0.93,253.0
37,3.2,0.82,
38,62.5,0.85,174.0
39,62.3,0.89,79.5
40,1.6,0.88,
41,7.9,0.88,13.0
42,21.0,0.84,42.0
43,59.7,0.84,100.0
44,34.9,0.83,54.0
45,14.5,0.85,44.0
46,58.1,0.88,155.0
47,72.3,0.9,361.0
48,69.4,0.93,138.0
49,43.5,0.9,91.0
50,56.5,0.93,106.0
51,89.2,0.96,791.0
52,24.2,0.82,45.0
53,31.1,0.81,65.0
54,32.8,0.79,70.0
55,24.2,0.78,46.0
56,38.7,0.75,86.0
57,71.0,0.76,138.0
58,23.8,0.78,57.0
59,82.8,0.79,276.0
60,35.5,0.79,81.0
61,11.5,0.79,25.0
62,24.6,0.79,41.0
63,25.8,0.81,56.0
64,71.0,0.84,268.0
65,77.3,0.79,219.0
66,24.2,0.8,64.0
67,97.0,1.35,1689.0
68,53.2,1.02,125.0
69,36.5,1.04,76.0
70,66.1,1.06,116.0
71,34.4,1.06,71.0
72,47.6,1.09,164.0
73,35.5,1.11,68.0
74,57.8,1.19,555.0
75,64.1,1.19,232.0
76,50.0,1.1,100.0
77,3.2,1.1,
78,86.4,1.17,489.0
79,55.6,0.98,112.0
80,1.6,0.98,
81,14.3,0.98,57.0
82,3.2,0.98,
83,12.7,0.98,21.0
84,12.9,0.98,33.0
85,32.3,1.0,78.0
86,18.0,1.0,36.0
87,63.1,1.0,192.0
88,75.0,1.0,230.0
89,40.3,0.96,78.0
90,12.5,0.95,18.0
91,19.4,0.95,37.0
92,3.2,0.95,
93,72.3,0.94,176.0
94,3.2,0.91,
95,3.2,0.91,
96,22.6,0.87,40.0
97,76.6,0.88,176.0
98,3.2,0.82,
99,33.9,0.81,60.0
