query_id, cpu_used(%), ram_used(gb)
01, 18.0, 0.79
02, 84.8, 0.79
03, 22.2, 0.74
04, 34.9, 0.77
04, 55.4, 0.82
04, 50.0, 0.85
04, 66.1, 0.91
04, 42.9, 0.92
04, 6.5, 0.70
05, 59.7, 0.67
06, 24.6, 0.71
07, 60.3, 0.80
08, 29.5, 0.69
09, 82.8, 0.72
10, 37.1, 0.72
11, 38.5, 0.74
11, 25.8, 0.81
11, 58.1, 0.83
11, 16.1, 0.81
12, 3.3, 0.81
13, 67.7, 0.87
14, 73.4, 0.92
14, 83.3, 1.06
14, 90.9, 1.08
14, 89.2, 1.08
14, 96.9, 1.09
14, 95.5, 1.12
15, 9.7, 0.94
16, 3.2, 0.94
17, 40.3, 0.96
18, 43.5, 0.93
19, 34.4, 0.92
20, 4.8, 0.92
21, 1.6, 0.89
22, 81.2, 0.91
22, us., 0.91
22, 0.0, 0.89
23, 78.1, 0.90
23, 85.1, 0.99
23, 93.8, 1.07
23, 90.9, 1.07
23, 89.6, 1.20
23, 92.4, 1.21
23, 32.8, 0.75
24, 42.9, 0.78
25, 17.5, 0.78
26, 25.8, 0.78
27, 59.4, 0.86
28, 80.0, 0.79
28, 0.0, 0.79
29, 47.5, 0.78
30, 14.5, 0.76
31, 51.6, 0.74
32, 1.6, 0.74
33, 31.7, 0.70
34, 35.5, 0.74
35, 70.3, 0.79
36, 53.2, 0.89
36, 6.5, 0.89
37, 1.6, 0.89
38, 66.2, 0.91
39, 63.5, 0.91
40, 1.6, 0.92
41, 6.3, 0.92
42, 22.2, 0.93
43, 60.3, 0.92
44, 33.9, 0.90
45, 14.5, 0.89
46, 61.9, 0.91
47, 73.4, 0.95
47, 49.2, 0.90
48, 67.7, 0.93
49, 44.3, 0.93
50, 56.5, 0.93
51, 73.4, 0.96
51, 87.3, 0.99
51, 87.9, 1.01
52, 21.0, 0.85
53, 30.2, 0.85
54, 32.3, 0.85
55, 22.6, 0.83
56, 41.3, 0.87
57, 69.8, 0.89
58, 26.2, 0.88
59, 84.6, 0.87
59, 3.2, 0.83
60, 37.1, 0.78
61, 12.7, 0.79
62, 23.8, 0.78
63, 27.4, 0.78
64, 72.3, 0.82
64, 1.6, 0.79
65, 73.4, 0.82
66, 25.4, 0.75
67, 70.8, 0.81
67, 85.1, 0.93
67, 90.9, 1.06
67, 74.6, 1.24
67, 95.5, 1.29
67, 96.8, 1.34
67, 1.6, 0.76
68, 57.4, 0.86
69, 39.7, 0.85
70, 67.2, 0.85
71, 34.4, 0.83
72, 47.6, 0.88
73, 37.1, 0.89
74, 50.8, 0.92
74, 60.7, 0.94
74, 11.5, 0.96
75, 68.3, 0.99
75, 0.0, 1.01
76, 48.4, 1.02
77, 3.2, 1.02
78, 72.7, 1.02
78, 87.5, 1.06
79, 57.1, 0.94
80, 1.6, 0.94
81, 17.7, 0.94
82, 3.2, 0.94
83, 11.1, 0.94
84, 12.7, 0.96
85, 30.6, 0.96
86, 20.6, 0.96
87, 65.1, 0.96
88, 73.8, 0.95
89, 40.3, 0.95
90, 12.7, 0.95
91, 20.6, 0.95
92, 3.2, 0.95
93, 73.4, 0.95
94, 3.2, 0.88
95, 3.2, 0.88
96, 20.6, 0.86
97, 76.6, 0.88
98, 4.8, 0.82
99, 33.9, 0.82
