query_id,cpu_used(%),ram_used(gb),time(ms)
1,48.67,0.79,111.33
2,72.88,0.81,380.33
3,56.9,0.81,111.33
4,60.53,1.08,2543.0
5,35.88,0.97,282.67
6,46.83,0.97,133.0
7,50.47,0.93,361.0
8,62.1,0.91,157.67
9,55.5,0.9,593.33
10,62.7,0.95,128.0
11,61.53,1.07,1701.67
12,2.67,0.93,
13,51.68,1.01,344.67
14,87.22,1.47,2245.33
15,19.13,1.01,66.67
16,3.2,1.0,
17,65.23,1.04,210.67
18,59.57,1.04,187.67
19,61.43,1.0,162.0
20,2.63,0.93,
21,3.2,0.93,
22,73.01,3.13,4908.33
23,89.62,1.6,2265.17
24,47.57,0.97,163.83
25,32.3,0.98,70.67
26,50.27,1.0,118.0
27,50.88,1.02,367.0
28,56.07,1.01,635.0
29,31.68,1.03,227.67
30,32.97,0.98,87.0
31,54.68,1.0,227.0
32,3.23,0.94,
33,62.2,1.04,170.33
34,73.97,1.0,161.33
35,46.28,0.98,298.33
36,41.15,0.99,633.0
37,2.7,0.85,
38,56.37,0.89,340.33
39,71.12,0.95,196.83
40,3.2,0.93,
41,7.5,0.94,20.33
42,43.0,0.94,92.0
43,53.95,0.93,244.0
44,79.13,0.9,129.0
45,25.4,0.9,84.0
46,47.18,0.91,353.33
47,82.38,1.02,729.67
48,48.52,0.89,319.0
49,60.4,0.97,207.67
50,44.07,0.97,293.0
51,86.7,1.22,1917.67
52,47.07,0.88,98.0
53,63.67,0.96,135.67
54,62.77,0.93,144.67
55,46.77,0.89,99.0
56,58.67,1.03,181.33
57,39.12,0.97,261.33
58,52.97,1.02,123.67
59,74.22,1.04,660.33
60,62.03,1.11,193.67
61,12.9,1.02,25.0
62,54.57,1.03,93.0
63,65.1,1.06,146.33
64,61.84,1.06,651.67
65,56.21,1.05,545.0
66,51.67,1.01,115.33
67,82.06,2.05,5060.67
68,35.67,1.16,275.33
69,67.37,1.11,136.67
70,37.18,1.11,279.67
71,64.23,1.1,150.67
72,49.38,1.02,327.33
73,72.1,1.05,152.67
74,48.58,1.04,1096.33
75,46.98,0.93,545.33
76,33.68,0.93,237.67
77,3.23,0.92,
78,79.39,1.18,1285.0
79,36.23,1.06,238.33
80,3.2,1.02,
81,38.3,1.03,135.33
82,3.2,1.02,
83,17.73,1.03,35.67
84,22.6,1.02,47.67
85,59.7,1.06,135.33
86,41.37,1.04,77.33
87,69.05,1.02,383.67
88,72.58,1.01,520.67
89,67.57,1.06,164.67
90,21.93,0.99,37.67
91,20.87,0.99,39.67
92,4.3,0.99,
93,73.28,1.02,537.67
94,30.07,0.91,66.67
95,2.7,0.91,
96,43.6,0.91,84.0
97,85.48,0.96,450.0
98,2.67,0.87,
99,77.8,0.88,125.33
