query_id,cpu_used(%),ram_used(gb),time(ms)
1,48.4,0.59,113.0
2,84.6,0.64,380.0
3,56.5,0.63,111.0
4,79.4,1.2,2559.0
5,60.9,1.02,282.0
6,46.9,1.02,134.0
7,61.9,1.05,360.0
8,62.5,0.88,157.0
9,98.5,0.9,594.0
10,63.9,0.95,128.0
11,75.4,1.12,1701.0
12,3.2,0.81,
13,63.6,0.89,349.0
14,98.5,1.53,2208.5
15,19.4,0.94,65.0
16,3.2,0.94,
17,64.5,0.94,210.0
18,60.3,1.0,187.0
19,58.1,0.98,163.0
20,3.2,0.83,
21,3.2,0.83,
22,98.5,4.97,4867.0
23,98.5,1.78,2273.5
24,57.1,0.96,165.0
25,32.3,0.93,71.0
26,50.0,0.95,118.0
27,63.1,1.01,370.0
28,67.7,0.97,638.0
29,63.5,1.05,227.0
30,32.3,0.88,85.0
31,68.3,0.96,226.0
32,3.2,0.99,
33,63.6,1.07,171.0
34,72.3,1.0,161.0
35,71.9,0.99,296.0
36,61.9,1.13,633.0
37,3.3,0.95,
38,75.0,1.01,339.0
39,71.0,1.0,196.0
40,3.2,1.0,
41,6.3,0.99,20.0
42,42.6,1.0,90.0
43,79.7,1.01,245.0
44,80.6,0.96,129.0
45,24.6,0.94,84.0
46,70.1,1.02,352.0
47,90.9,1.15,732.0
48,67.7,1.06,317.0
49,60.9,1.04,207.0
50,78.8,1.06,293.0
51,95.5,1.39,1925.0
52,50.0,0.84,99.0
53,63.5,0.93,140.0
54,62.9,0.88,146.0
55,46.8,0.93,99.0
56,59.4,1.04,180.0
57,74.6,0.98,265.0
58,52.5,1.06,123.0
59,95.5,1.09,657.0
60,61.9,1.17,190.0
61,11.5,1.04,25.0
62,56.5,1.05,92.0
63,64.6,1.09,152.0
64,83.1,1.15,650.0
65,97.0,1.08,545.0
66,54.1,0.98,116.0
67,97.0,2.65,5245.0
68,67.2,1.25,277.0
69,66.1,1.1,133.0
70,66.7,1.13,278.0
71,62.5,1.09,154.0
72,54.8,1.0,324.0
73,71.9,1.02,153.0
74,66.2,1.1,1077.0
75,71.4,1.03,545.0
76,68.8,0.86,239.0
77,3.3,0.86,
78,85.3,1.33,1291.0
79,71.4,1.13,237.0
80,3.2,1.0,
81,39.7,1.01,138.0
82,3.2,0.99,
83,17.7,1.0,36.0
84,24.2,1.0,48.0
85,60.7,1.04,137.0
86,40.3,1.03,78.0
87,76.9,1.03,385.0
88,98.5,0.9,524.0
89,67.2,0.94,162.0
90,22.2,0.95,39.0
91,20.6,0.95,39.0
92,4.8,0.95,
93,93.9,0.99,537.0
94,29.0,0.86,67.0
95,3.3,0.85,
96,43.5,0.89,84.0
97,98.5,0.94,446.0
98,3.2,0.78,
99,77.8,0.79,124.0
