query_id, real_time(s), user_time(s), sys_time(s)
01, 0.114, 0.308940, 0.047642
02, 0.380, 1.394541, 0.074330
03, 0.112, 0.331195, 0.099733
04, 2.610, 6.943917, 0.571210
05, 0.283, 0.814398, 0.251600
06, 0.133, 0.263547, 0.105022
07, 0.361, 0.916146, 0.354805
08, 0.159, 0.427651, 0.096693
09, 0.593, 2.151508, 0.129225
10, 0.127, 0.339740, 0.091916
11, 1.748, 4.752347, 0.423541
13, 0.343, 1.013437, 0.247114
14, 2.645, 9.359960, 0.709938
14, 1.887, 6.663253, 0.256955
15, 0.066, 0.083590, 0.029566
17, 0.213, 0.548110, 0.182058
18, 0.188, 0.446279, 0.097989
19, 0.163, 0.422142, 0.159569
22, 4.971, 15.591717, 3.390475
23, 2.321, 8.166353, 0.799935
23, 2.198, 8.215626, 0.292280
24, 0.199, 0.530237, 0.167274
24, 0.126, 0.422600, 0.000591
25, 0.069, 0.176720, 0.048007
26, 0.117, 0.285243, 0.095726
27, 0.367, 0.951535, 0.331456
28, 0.634, 2.301778, 0.137416
29, 0.226, 0.630090, 0.187554
30, 0.091, 0.193892, 0.035347
31, 0.229, 0.642813, 0.191646
33, 0.169, 0.431215, 0.196092
34, 0.163, 0.496300, 0.105645
35, 0.302, 0.907710, 0.163798
36, 0.631, 1.100818, 0.271085
38, 0.339, 1.142572, 0.144333
39, 0.206, 0.624890, 0.096685
39, 0.184, 0.642264, 0.023566
41, 0.020, 0.022799, 0.007911
42, 0.092, 0.246747, 0.109910
43, 0.244, 0.839580, 0.101464
44, 0.129, 0.474641, 0.026824
45, 0.084, 0.150508, 0.047778
46, 0.356, 0.952815, 0.206625
47, 0.732, 2.470334, 0.286583
48, 0.320, 0.990148, 0.190117
49, 0.209, 0.547802, 0.234959
50, 0.293, 0.987299, 0.132128
51, 1.918, 6.439256, 0.557744
52, 0.099, 0.265475, 0.109536
53, 0.134, 0.384750, 0.123232
54, 0.143, 0.378522, 0.144087
55, 0.099, 0.270369, 0.110168
56, 0.182, 0.430663, 0.222777
57, 0.263, 0.838118, 0.083292
58, 0.124, 0.299403, 0.160149
59, 0.662, 2.357869, 0.114347
60, 0.191, 0.467656, 0.223307
61, 0.025, 0.067537, 0.008128
62, 0.093, 0.309548, 0.033645
63, 0.146, 0.414970, 0.132287
64, 0.645, 1.982183, 0.346084
65, 0.544, 1.852902, 0.191402
66, 0.114, 0.279490, 0.101894
67, 5.034, 17.010358, 2.164681
68, 0.277, 0.749639, 0.247968
69, 0.138, 0.410608, 0.070268
70, 0.279, 0.965600, 0.097390
71, 0.148, 0.411944, 0.129591
72, 0.327, 0.799792, 0.135584
73, 0.153, 0.466575, 0.104575
74, 1.148, 2.964886, 0.285345
75, 0.547, 1.591093, 0.310050
76, 0.236, 0.638389, 0.258712
78, 1.279, 4.329517, 0.546504
79, 0.238, 0.728857, 0.163954
81, 0.134, 0.216482, 0.042899
83, 0.036, 0.090159, 0.032763
84, 0.049, 0.120939, 0.021915
85, 0.134, 0.346690, 0.109475
86, 0.076, 0.236155, 0.028298
87, 0.385, 1.306756, 0.162269
88, 0.517, 1.847978, 0.081255
89, 0.168, 0.477512, 0.135375
90, 0.037, 0.110936, 0.027209
91, 0.041, 0.112177, 0.013164
93, 0.540, 1.866666, 0.180757
94, 0.066, 0.175460, 0.058489
96, 0.082, 0.239819, 0.078625
97, 0.454, 1.554078, 0.189857
99, 0.127, 0.467800, 0.023890
