query_id,cpu_used(%),ram_used(gb),time(ms)
1,88.51,1.24,2490.67
2,44.6,0.94,299.33
3,78.59,1.36,2113.67
4,79.48,1.3,1814.67
5,74.52,1.48,2208.67
6,55.48,1.34,743.0
7,74.83,1.91,2439.67
8,76.95,1.65,2121.67
9,79.74,3.11,5879.33
10,78.14,1.91,2948.0
11,37.4,1.05,264.33
12,67.51,1.39,1430.67
13,89.11,1.54,4528.33
14,53.36,1.47,573.5
15,62.8,1.67,841.83
16,78.22,1.12,810.33
17,79.38,1.47,2418.33
18,80.07,1.78,3741.67
19,70.77,1.64,2093.0
20,64.25,1.42,1431.67
21,81.69,1.96,5177.67
22,74.63,0.86,907.33
