query_id, cpu_used(%), ram_used(gb)
1, 82.8, 0.78
1, 92.2, 0.88
1, 90.6, 0.98
1, 90.5, 1.08
1, 90.9, 1.20
1, 89.4, 1.34
1, 89.6, 1.47
1, 87.9, 1.61
1, 89.6, 1.73
2, 78.1, 0.92
2, 12.7, 0.94
3, 77.8, 0.98
3, 89.4, 1.06
3, 72.6, 1.17
3, 83.1, 1.30
3, 85.9, 1.45
3, 84.4, 1.65
3, 84.6, 1.85
3, 53.8, 1.51
4, 75.8, 1.07
4, 78.5, 1.18
4, 91.0, 1.30
4, 89.4, 1.42
4, 87.9, 1.53
4, 90.6, 1.65
4, 39.1, 1.07
5, 70.8, 1.13
5, 84.4, 1.22
5, 86.4, 1.33
5, 86.2, 1.47
5, 85.9, 1.61
5, 87.9, 1.76
5, 86.2, 1.90
5, 84.8, 2.08
5, 1.6, 0.93
6, 63.5, 1.09
6, 63.6, 1.43
6, 72.3, 1.75
7, 65.6, 1.12
7, 71.9, 1.40
7, 70.8, 1.70
7, 68.3, 1.99
7, 70.8, 2.25
7, 95.5, 2.29
7, 95.5, 2.33
7, 97.0, 2.38
7, 76.2, 2.38
8, 75.8, 1.04
8, 79.7, 1.23
8, 81.2, 1.42
8, 80.0, 1.61
8, 81.5, 1.81
8, 81.2, 2.03
8, 86.4, 2.23
8, 55.6, 1.93
9, 57.1, 1.40
9, 73.8, 1.64
9, 72.3, 1.84
9, 79.4, 2.07
9, 38.1, 2.58
9, 89.6, 2.85
9, us., 2.85
9, us., 2.85
9, 91.0, 2.96
9, 89.1, 3.10
9, 89.6, 3.24
9, 90.9, 3.40
9, 89.2, 3.53
9, 89.6, 3.66
9, 89.4, 3.80
9, 89.4, 3.94
9, 89.2, 4.09
9, 89.4, 4.23
9, 89.4, 4.36
9, 89.2, 4.51
9, 7.9, 3.00
10, 71.0, 1.39
10, 81.8, 1.51
10, 77.6, 1.63
10, 87.7, 1.74
10, 86.4, 1.84
10, 87.9, 1.95
10, 87.7, 2.14
10, 84.4, 2.32
10, 84.8, 2.54
10, 76.6, 2.75
10, 25.0, 1.60
11, 71.6, 1.05
11, 1.6, 1.07
12, 71.9, 1.14
12, 75.8, 1.30
12, 75.0, 1.52
12, 83.9, 1.70
12, 93.9, 1.76
12, 0.0, 0.99
13, 60.9, 1.02
13, 92.4, 1.07
13, 90.9, 1.14
13, 93.9, 1.22
13, 93.9, 1.28
13, 93.8, 1.34
13, 92.2, 1.42
13, 95.4, 1.50
13, 95.5, 1.56
13, 93.8, 1.63
13, 93.8, 1.71
13, 93.8, 1.78
13, 94.0, 1.87
13, 94.0, 1.98
13, 97.0, 2.03
13, 29.7, 0.90
14, 56.5, 1.08
14, 73.4, 1.30
14, 72.7, 1.58
14, 72.3, 1.86
14, 39.7, 2.02
14, 4.8, 1.19
15, 65.6, 1.31
15, 72.7, 1.50
15, 71.6, 1.73
15, 74.2, 2.00
15, 98.5, 2.00
15, 97.0, 2.00
15, 38.1, 2.00
15, 0.0, 1.04
16, 71.9, 1.09
16, 89.6, 1.18
16, 95.4, 1.21
16, 0.0, 0.88
17, 75.4, 0.98
17, 83.3, 1.16
17, 84.4, 1.32
17, 81.8, 1.50
17, 84.4, 1.66
17, us., 1.72
17, 98.5, 1.72
17, 98.5, 1.72
17, 55.4, 1.10
18, 73.0, 1.05
18, 87.5, 1.20
18, 87.7, 1.35
18, 83.6, 1.51
18, 86.2, 1.67
18, 87.9, 1.82
18, 86.4, 2.01
18, 82.1, 2.21
18, us., 2.21
18, 97.0, 2.21
18, 84.4, 2.27
18, 98.5, 2.27
18, us., 2.27
18, 3.2, 1.26
19, 45.3, 1.30
19, 81.5, 1.39
19, 81.8, 1.53
19, 80.6, 1.67
19, 81.2, 1.86
19, 83.3, 2.06
19, 81.8, 2.31
19, 39.7, 1.61
20, 78.1, 1.05
20, 75.4, 1.25
20, 73.1, 1.52
20, 76.6, 1.77
20, 76.1, 2.03
20, 6.3, 1.26
21, 72.6, 1.34
21, 76.9, 1.48
21, 78.5, 1.63
21, 76.9, 1.78
21, 67.7, 1.97
21, 93.8, 2.04
21, 91.0, 2.11
21, 84.6, 2.23
21, us., 2.23
21, 98.5, 2.23
21, 98.5, 2.23
21, us., 2.23
21, us., 2.23
21, 98.5, 2.26
21, us., 2.26
21, us., 2.26
21, us., 2.26
21, 98.5, 2.26
21, 1.6, 0.77
22, 84.4, 0.81
22, 92.3, 0.86
22, 95.5, 0.91
22, 22.2, 0.91
