query_id,real_time(s),user_time(s),sys_time(s)
1,2.489,8.786759,0.888269
2,0.295,0.896694,0.110624
3,2.096,6.893172,1.06994
4,1.817,6.166484,0.77696
5,2.196,7.291182,1.163713
6,0.745,1.966053,0.900781
7,2.432,7.84038,1.448591
8,2.124,6.709912,1.432432
9,5.873,19.526388,2.874204
10,2.93,9.496099,1.659747
11,0.264,0.8934,0.126084
12,1.435,4.613302,0.901607
13,4.565,16.429197,1.113494
14,1.146,3.259347,1.087163
15,1.685,5.375437,1.144811
16,0.811,2.767839,0.317768
17,2.414,8.477028,0.894963
18,3.736,12.938466,1.411707
19,2.096,6.541038,1.452366
20,1.436,4.254906,1.261752
21,5.176,18.451118,1.312926
22,0.919,3.347037,0.141822
