query_id, real_time(s), user_time(s), sys_time(s)
1, 0.619, 2.177192, 0.213268
2, 0.077, 0.155620, 0.053244
3, 0.418, 1.281894, 0.287176
4, 0.368, 1.160934, 0.206429
5, 0.431, 1.326934, 0.293002
6, 0.185, 0.506414, 0.207392
7, 0.480, 1.457570, 0.352709
8, 0.383, 1.064554, 0.361668
9, 1.134, 3.603362, 0.721644
10, 0.708, 2.216667, 0.428786
11, 0.072, 0.227395, 0.044160
12, 0.316, 0.985453, 0.220791
13, 1.061, 3.676528, 0.315687
14, 0.291, 0.685975, 0.311117
14, 0.003, 0.000000, 0.000831
15, 0.373, 1.205183, 0.233674
15, 0.004, 0.000421, 0.000082
16, 0.190, 0.542944, 0.090978
17, 0.344, 1.072338, 0.243401
18, 0.938, 3.214532, 0.347614
19, 0.535, 1.439500, 0.413342
20, 0.334, 0.971127, 0.299027
21, 1.087, 3.686163, 0.307737
22, 0.142, 0.413358, 0.048556
