query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
01 | 2025-04-10 22:52:25.043 | 15,0 | 2025-04-10 22:52:25.301 | 2,11
02 | 2025-04-10 22:52:25.383 | 30,3 | 2025-04-10 22:52:25.635 | 2,12
03 | 2025-04-10 22:52:25.718 | 57,3 | 2025-04-10 22:52:25.972 | 2,13
04 | 2025-04-10 22:52:26.057 | 37,6 | 2025-04-10 22:52:26.315 | 2,20
04 | 2025-04-10 22:52:26.408 | 36,0 | 2025-04-10 22:52:26.703 | 2,23
04 | 2025-04-10 22:52:26.793 | 33,0 | 2025-04-10 22:52:27.056 | 2,26
04 | 2025-04-10 22:52:27.138 | 45,4 | 2025-04-10 22:52:27.404 | 2,10
05 | 2025-04-10 22:52:27.575 | 0 | 2025-04-10 22:52:27.585 | 0
05 | 2025-04-10 22:52:27.493 | 32,6 | 2025-04-10 22:52:27.752 | 2,07
06 | 2025-04-10 22:52:27.841 | 40,4 | 2025-04-10 22:52:28.110 | 2,09
07 | 2025-04-10 22:52:28.198 | 39,0 | 2025-04-10 22:52:28.457 | 2,19
08 | 2025-04-10 22:52:28.559 | 53,2 | 2025-04-10 22:52:28.839 | 2,14
09 | 2025-04-10 22:52:28.928 | 58,9 | 2025-04-10 22:52:29.199 | 2,15
10 | 2025-04-10 22:52:29.283 | 22,4 | 2025-04-10 22:52:29.530 | 2,13
11 | 2025-04-10 22:52:29.615 | 36,7 | 2025-04-10 22:52:29.876 | 2,22
11 | 2025-04-10 22:52:29.955 | 23,1 | 2025-04-10 22:52:30.219 | 2,23
11 | 2025-04-10 22:52:30.309 | 40,3 | 2025-04-10 22:52:30.566 | 2,25
11 | 2025-04-10 22:52:30.643 | 17,1 | 2025-04-10 22:52:30.896 | 2,11
12 | 2025-04-10 22:52:31.068 | 0 | 2025-04-10 22:52:31.075 | 0
12 | 2025-04-10 22:52:30.989 | 8,5 | 2025-04-10 22:52:31.245 | 2,11
13 | 2025-04-10 22:52:31.333 | 29,1 | 2025-04-10 22:52:31.588 | 2,17
14 | 2025-04-10 22:52:31.671 | 43,4 | 2025-04-10 22:52:31.944 | 2,19
14 | 2025-04-10 22:52:32.044 | 83,1 | 2025-04-10 22:52:32.401 | 2,31
14 | 2025-04-10 22:52:32.486 | 79,9 | 2025-04-10 22:52:32.868 | 2,39
14 | 2025-04-10 22:52:32.967 | 26,9 | 2025-04-10 22:52:33.295 | 2,11
15 | 2025-04-10 22:52:33.381 | 17,7 | 2025-04-10 22:52:33.639 | 2,12
16 | 2025-04-10 22:52:33.804 | 0 | 2025-04-10 22:52:33.811 | 0
16 | 2025-04-10 22:52:33.720 | 11,7 | 2025-04-10 22:52:33.978 | 2,11
17 | 2025-04-10 22:52:34.064 | 23,1 | 2025-04-10 22:52:34.312 | 2,15
18 | 2025-04-10 22:52:34.396 | 24,7 | 2025-04-10 22:52:34.643 | 2,19
19 | 2025-04-10 22:52:34.731 | 32,2 | 2025-04-10 22:52:34.984 | 2,20
20 | 2025-04-10 22:52:35.157 | 0 | 2025-04-10 22:52:35.166 | 0
20 | 2025-04-10 22:52:35.068 | 16,3 | 2025-04-10 22:52:35.337 | 2,19
21 | 2025-04-10 22:52:35.505 | 0 | 2025-04-10 22:52:35.512 | 0
21 | 2025-04-10 22:52:35.426 | 7,9 | 2025-04-10 22:52:35.681 | 2,20
22 | 2025-04-10 22:52:35.762 | 60,8 | 2025-04-10 22:52:36.072 | 2,22
22 | 2025-04-10 22:52:36.201 | 77,3 | 2025-04-10 22:52:36.556 | 2,18
23 | 2025-04-10 22:52:36.644 | 69,3 | 2025-04-10 22:52:36.955 | 2,22
23 | 2025-04-10 22:52:37.077 | 79,6 | 2025-04-10 22:52:37.582 | 2,30
23 | 2025-04-10 22:52:37.751 | 77,4 | 2025-04-10 22:52:38.054 | 2,32
23 | 2025-04-10 22:52:38.172 | 34,4 | 2025-04-10 22:52:38.494 | 2,11
24 | 2025-04-10 22:52:38.575 | 18,9 | 2025-04-10 22:52:38.819 | 2,13
25 | 2025-04-10 22:52:38.901 | 19,9 | 2025-04-10 22:52:39.146 | 2,14
26 | 2025-04-10 22:52:39.229 | 22,7 | 2025-04-10 22:52:39.474 | 2,13
27 | 2025-04-10 22:52:39.557 | 34,3 | 2025-04-10 22:52:39.810 | 2,23
28 | 2025-04-10 22:52:39.895 | 55,7 | 2025-04-10 22:52:40.147 | 2,21
29 | 2025-04-10 22:52:40.229 | 28,1 | 2025-04-10 22:52:40.476 | 2,25
30 | 2025-04-10 22:52:40.560 | 20,7 | 2025-04-10 22:52:40.807 | 2,25
31 | 2025-04-10 22:52:40.965 | 0 | 2025-04-10 22:52:40.973 | 0
