query_id,cpu_used(%),ram_used(gb),time(ms)
1,59.7,0.6,122.0
2,90.83,0.69,746.0
3,68.8,0.76,225.0
4,82.16,1.54,4244.0
5,46.37,1.13,566.0
6,32.85,1.06,249.0
7,67.3,1.17,482.0
8,30.95,1.12,269.0
9,78.43,1.23,1273.0
10,34.4,1.14,232.0
11,80.25,1.41,2761.0
12,3.3,0.85,
13,64.27,0.92,653.0
14,85.01,2.08,4748.5
15,40.3,1.1,111.0
16,3.2,1.1,
17,71.1,1.16,417.0
18,44.35,0.95,335.0
19,38.65,0.92,297.0
20,3.2,0.85,
21,4.7,0.85,
22,75.18,7.57,16658.0
23,86.05,2.33,4854.0
24,51.8,1.21,419.5
25,47.6,1.02,145.0
26,25.0,0.9,296.0
27,44.37,0.95,559.0
28,82.88,1.06,1263.0
29,62.5,1.11,499.0
30,59.7,1.12,138.0
31,71.85,1.17,424.0
32,3.2,0.92,
33,39.9,1.1,331.0
34,46.0,1.2,305.0
35,54.5,1.22,570.0
36,42.22,1.34,1334.0
37,1.6,1.11,
38,75.4,1.15,709.0
39,79.22,1.16,484.5
40,3.2,1.03,
41,9.5,1.02,30.0
42,63.5,1.08,200.0
43,74.95,0.89,410.0
44,40.0,0.82,255.0
45,46.8,0.86,137.0
46,56.93,0.89,609.0
47,68.4,1.03,1191.0
48,59.17,0.93,604.0
49,57.7,1.07,435.0
50,55.17,1.1,557.0
51,85.47,1.54,3858.0
52,66.7,1.16,197.0
53,38.9,1.1,286.0
54,41.35,1.16,284.0
55,65.6,1.18,194.0
56,45.2,0.97,346.0
57,55.57,0.93,558.0
58,28.5,1.1,248.0
59,86.9,1.16,1312.0
60,52.7,1.14,388.0
61,76.85,1.25,471.0
62,78.5,1.03,170.0
63,35.8,1.1,269.0
64,71.42,1.36,1602.0
65,74.56,1.17,1233.0
66,29.35,1.02,237.0
67,82.56,3.22,11118.0
68,39.73,1.19,537.0
69,24.2,1.1,53.0
70,57.73,1.11,559.0
71,41.55,1.03,307.0
72,50.7,1.06,728.0
73,40.9,1.11,294.0
74,77.34,1.41,1872.0
75,60.6,1.46,1118.0
76,38.53,1.1,514.0
77,3.2,0.91,
78,80.22,1.54,2707.0
79,52.1,1.16,541.0
80,1.6,1.2,
81,51.5,1.27,209.0
82,3.2,1.26,
83,27.4,1.27,62.0
84,36.5,1.26,73.0
85,31.75,1.19,264.0
86,71.9,1.16,147.0
87,82.8,1.2,775.0
88,90.15,1.11,1014.0
89,45.85,1.14,329.0
90,35.0,1.2,64.0
91,24.2,1.2,46.0
92,3.2,1.2,
93,59.4,1.23,152.0
94,3.2,1.08,
95,1.6,1.08,
96,69.8,1.11,172.0
97,81.62,1.08,995.0
98,3.2,0.87,
99,41.25,0.87,272.0
