query_id,cpu_used(%),ram_used(gb),time(ms)
1,60.3,0.99,132.0
2,95.5,1.04,745.0
3,68.8,1.04,226.0
4,98.5,1.87,4144.0
5,69.2,1.29,566.0
6,62.5,1.09,249.0
7,72.3,1.3,480.0
8,62.5,1.13,272.0
9,98.5,1.26,1270.0
10,70.3,1.29,231.0
11,98.5,1.58,2693.0
12,3.3,0.84,
13,78.5,1.11,664.0
14,98.5,2.62,4781.5
15,37.7,0.95,109.0
16,1.6,0.94,
17,69.4,1.09,411.0
18,54.8,0.97,324.0
19,59.4,1.05,308.0
20,3.2,0.98,
21,3.3,0.97,
22,93.9,12.86,16872.0
23,98.5,2.9,4847.5
24,98.5,1.51,416.0
25,53.2,1.13,120.0
26,55.6,1.13,220.0
27,75.4,1.15,513.0
28,98.5,1.07,1243.0
29,70.1,1.17,484.0
30,56.5,0.84,123.0
31,79.4,1.11,431.0
32,3.2,1.07,
33,60.0,1.19,328.0
34,71.9,1.25,305.0
35,87.9,1.33,567.0
36,71.0,1.57,1339.0
37,1.6,1.24,
38,93.8,1.25,700.0
39,96.9,1.14,473.5
40,3.2,0.83,
41,8.1,0.82,29.0
42,66.2,0.96,206.0
43,78.1,1.01,413.0
44,81.5,1.05,256.0
45,49.2,1.09,146.0
46,79.4,1.26,600.0
47,89.2,1.34,1196.0
48,82.5,1.08,604.0
49,62.5,1.35,405.0
50,87.9,1.28,558.0
51,98.5,1.87,3939.0
52,64.1,1.01,189.0
53,67.2,1.07,287.0
54,65.1,1.01,286.0
55,59.7,1.05,195.0
56,61.5,1.21,341.0
57,92.1,1.22,550.0
58,58.7,1.32,246.0
59,97.0,1.37,1314.0
60,63.5,1.35,358.0
61,86.4,1.16,481.0
62,77.6,0.9,171.0
63,63.1,0.98,275.0
64,92.3,1.39,1473.0
65,98.5,1.34,1232.0
66,64.6,1.04,203.0
67,98.5,4.81,10965.0
68,72.7,1.41,494.0
69,23.0,1.17,49.0
70,95.4,1.18,563.0
71,62.9,1.1,305.0
72,64.6,1.25,699.0
73,69.7,1.22,295.0
74,98.5,1.53,1932.0
75,90.9,1.41,1116.0
76,68.8,1.29,515.0
77,3.2,0.89,
78,93.8,2.09,2721.0
79,81.8,1.19,544.0
80,3.2,1.13,
81,53.1,1.19,202.0
82,3.2,1.19,
83,25.4,1.2,62.0
84,40.3,1.21,73.0
85,58.7,1.27,263.0
86,73.0,1.09,142.0
87,92.5,1.18,763.0
88,98.5,1.24,1008.0
89,65.6,1.23,329.0
90,36.1,1.12,64.0
91,22.6,1.11,46.0
92,3.2,1.11,
93,59.4,1.1,152.0
94,3.2,1.1,
95,3.2,1.1,
96,67.2,1.1,174.0
97,95.5,1.24,974.0
98,3.2,0.8,
99,76.6,0.81,272.0
