query_id,cpu_used(%),ram_used(gb),time(ms)
1,60.3,0.99,132.0
2,95.5,1.04,746.0
3,69.8,1.04,228.0
4,98.5,1.96,4280.0
5,70.3,1.34,575.0
6,66.2,1.09,253.0
7,72.7,1.3,482.0
8,62.9,1.14,272.0
9,98.5,1.29,1276.0
10,70.3,1.29,232.0
11,98.5,1.61,2761.0
12,3.3,0.85,
13,79.4,1.11,664.0
14,98.5,2.63,4783.5
15,42.9,1.1,111.0
16,3.2,1.1,
17,76.6,1.2,417.0
18,58.1,1.06,344.0
19,61.9,1.07,308.0
20,3.3,0.98,
21,4.7,0.97,
22,96.9,12.87,16872.0
23,98.5,2.9,4854.0
24,98.5,1.51,419.5
25,54.8,1.21,145.0
26,55.6,1.18,296.0
27,75.4,1.23,559.0
28,98.5,1.11,1263.0
29,70.1,1.17,499.0
30,59.7,1.12,138.0
31,79.4,1.23,431.0
32,3.2,1.07,
33,60.3,1.19,331.0
34,73.4,1.25,305.0
35,89.1,1.33,574.0
36,71.0,1.57,1347.0
37,1.6,1.24,
38,93.8,1.25,709.0
39,96.9,1.21,484.5
40,3.2,1.03,
41,11.5,1.02,30.0
42,68.8,1.08,206.0
43,78.5,1.12,413.0
44,81.5,1.05,256.0
45,52.4,1.09,146.0
46,79.4,1.26,612.0
47,89.6,1.34,1198.0
48,82.5,1.12,604.0
49,64.6,1.35,470.0
50,87.9,1.28,558.0
51,98.5,1.87,3944.0
52,66.7,1.16,199.0
53,67.2,1.15,287.0
54,69.8,1.24,288.0
55,65.6,1.18,195.0
56,61.5,1.21,363.0
57,92.1,1.22,565.0
58,58.7,1.32,248.0
59,97.0,1.37,1314.0
60,63.5,1.35,388.0
61,89.1,1.33,481.0
62,83.1,1.14,172.0
63,65.1,1.17,275.0
64,92.3,1.58,1602.0
65,98.5,1.35,1236.0
66,64.6,1.13,237.0
67,98.5,4.81,11118.0
68,75.4,1.43,553.0
69,24.2,1.17,53.0
70,98.5,1.18,563.0
71,62.9,1.12,307.0
72,70.3,1.25,728.0
73,72.3,1.22,295.0
74,98.5,1.53,1932.0
75,93.5,1.67,1118.0
76,68.8,1.29,515.0
77,3.2,0.91,
78,98.5,2.09,2721.0
79,82.8,1.24,544.0
80,3.2,1.2,
81,58.1,1.27,209.0
82,4.8,1.26,
83,28.6,1.27,62.0
84,41.3,1.26,74.0
85,61.9,1.27,282.0
86,73.0,1.16,147.0
87,92.5,1.24,775.0
88,98.5,1.28,1014.0
89,65.6,1.23,330.0
90,38.1,1.2,67.0
91,24.2,1.2,46.0
92,3.2,1.2,
93,60.3,1.23,154.0
94,3.2,1.1,
95,4.8,1.1,
96,69.8,1.11,174.0
97,95.5,1.24,995.0
98,3.2,0.95,
99,81.8,0.97,272.0
