query_id,cpu_used(%),ram_used(gb),time(ms)
1,20.93,0.79,61.67
2,86.0,0.81,161.67
3,23.53,0.79,45.0
4,40.38,0.87,1345.0
5,57.27,0.71,115.33
6,24.33,0.74,66.33
7,60.1,0.84,160.67
8,30.6,0.74,71.33
9,81.97,0.77,233.33
10,35.67,0.78,68.33
11,38.66,0.82,869.0
12,3.23,0.79,
13,67.0,0.86,154.67
14,87.81,1.0,806.83
15,12.53,0.78,43.0
16,3.2,0.78,
17,41.7,0.78,98.67
18,41.37,0.76,106.0
19,35.13,0.76,73.67
20,3.73,0.76,
21,2.13,0.74,
22,54.39,0.76,558.0
23,80.39,0.99,903.0
24,42.23,0.83,46.5
25,17.2,0.83,44.67
26,26.2,0.84,61.33
27,59.17,0.92,167.67
28,39.1,0.85,261.0
29,46.23,0.84,101.67
30,15.13,0.83,59.0
31,50.0,0.83,103.0
32,2.67,0.83,
33,30.77,0.81,71.33
34,36.37,0.82,71.67
35,70.6,0.87,162.33
36,28.88,0.87,259.33
37,2.67,0.83,
38,64.43,0.86,173.67
39,61.3,0.87,78.83
40,2.13,0.87,
41,6.33,0.87,12.33
42,21.8,0.87,42.0
43,59.37,0.87,100.0
44,34.23,0.86,54.67
45,14.5,0.86,43.33
46,59.03,0.88,153.33
47,60.55,0.88,360.0
48,69.2,0.91,139.67
49,43.03,0.89,91.33
50,56.7,0.9,105.67
51,83.16,0.95,792.0
52,22.6,0.82,45.67
53,30.1,0.82,62.67
54,32.8,0.82,70.0
55,23.67,0.82,45.67
56,38.3,0.81,85.67
57,70.73,0.82,137.33
58,24.87,0.83,57.0
59,43.33,0.83,277.67
60,37.63,0.83,84.0
61,12.37,0.83,25.33
62,24.73,0.83,41.33
63,27.27,0.84,57.33
64,36.5,0.83,266.0
65,74.7,0.83,219.67
66,24.6,0.82,63.0
67,74.67,1.08,1702.0
68,54.9,0.87,125.67
69,38.3,0.89,76.67
70,67.57,0.9,116.67
71,33.87,0.91,72.33
72,47.6,0.95,162.67
73,36.03,0.96,67.0
74,39.69,1.0,559.33
75,33.1,1.02,232.67
76,48.4,1.0,99.0
77,3.2,0.99,
78,79.57,1.04,491.33
79,55.6,0.93,111.67
80,2.13,0.93,
81,15.6,0.93,57.67
82,3.2,0.93,
83,11.7,0.93,21.0
84,13.83,0.94,32.67
85,32.6,0.95,77.67
86,19.2,0.95,35.67
87,65.47,0.95,192.0
88,74.73,0.94,228.67
89,41.37,0.93,79.67
90,12.17,0.93,18.33
91,19.8,0.93,37.67
92,3.7,0.92,
93,74.2,0.93,181.33
94,3.23,0.87,
95,3.2,0.87,
96,21.4,0.85,38.67
97,76.6,0.87,180.33
98,3.73,0.82,
99,33.37,0.81,60.0
