query_id, cpu_used(%), ram_used(gb)
01, 23.8, 0.76
02, 85.7, 0.80
03, 24.2, 0.82
04, 36.9, 0.85
04, 58.1, 0.95
04, 25.4, 0.98
04, 69.4, 0.99
04, 51.6, 1.00
04, 1.6, 0.73
05, 56.5, 0.73
06, 25.8, 0.77
07, 59.7, 0.87
08, 31.7, 0.84
09, 83.1, 0.87
10, 34.4, 0.89
11, 41.3, 0.92
11, 50.0, 0.93
11, 56.5, 0.93
11, 12.9, 0.85
12, 3.2, 0.85
13, 65.6, 0.91
14, 72.3, 0.87
14, 83.6, 1.00
14, 89.6, 1.00
14, 86.6, 1.00
14, 95.5, 1.01
14, 96.9, 1.04
15, 16.4, 0.75
16, 3.2, 0.75
17, 42.6, 0.68
18, 40.3, 0.64
19, 34.9, 0.66
20, 3.2, 0.66
21, 3.2, 0.64
22, 84.4, 0.66
22, 98.5, 0.66
22, 1.6, 0.62
23, 81.2, 0.68
23, 86.4, 0.89
23, 93.9, 1.00
23, 92.4, 1.03
23, 87.9, 1.18
23, 92.5, 1.20
23, 20.3, 0.79
24, 41.9, 0.79
25, 17.7, 0.79
26, 27.0, 0.82
27, 59.4, 0.91
28, 76.1, 0.84
28, 0.0, 0.84
29, 46.0, 0.78
30, 16.4, 0.79
31, 49.2, 0.81
32, 3.2, 0.81
33, 29.5, 0.77
34, 38.1, 0.80
35, 69.4, 0.83
36, 53.2, 0.88
36, 3.2, 0.78
37, 3.2, 0.78
38, 64.6, 0.81
39, 58.1, 0.82
40, 3.2, 0.82
41, 4.8, 0.82
42, 22.2, 0.83
43, 58.1, 0.85
44, 33.9, 0.85
45, 14.5, 0.85
46, 57.1, 0.85
47, 70.8, 0.85
47, 49.2, 0.81
48, 70.5, 0.86
49, 41.3, 0.85
50, 57.1, 0.83
51, 71.9, 0.88
51, 87.3, 0.89
51, 90.5, 0.96
52, 22.6, 0.79
53, 29.0, 0.81
54, 33.3, 0.82
55, 24.2, 0.84
56, 34.9, 0.81
57, 71.4, 0.82
58, 24.6, 0.83
59, 84.6, 0.84
59, 1.6, 0.85
60, 40.3, 0.91
61, 12.9, 0.91
62, 25.8, 0.93
63, 28.6, 0.93
64, 70.8, 0.94
64, 1.6, 0.85
65, 73.4, 0.88
66, 24.2, 0.90
67, 73.8, 0.94
67, 87.7, 1.00
67, 89.2, 1.08
67, 88.2, 1.24
67, 94.0, 1.29
67, 93.8, 1.36
67, 1.6, 0.73
68, 54.1, 0.73
69, 38.7, 0.78
70, 69.4, 0.80
71, 32.8, 0.84
72, 47.6, 0.88
73, 35.5, 0.89
74, 50.8, 0.92
74, 53.2, 0.92
74, 12.7, 0.84
75, 66.2, 0.88
75, 0.0, 0.88
76, 46.8, 0.87
77, 3.2, 0.86
78, 72.3, 0.90
78, 86.6, 0.99
79, 54.1, 0.88
80, 3.2, 0.88
81, 14.8, 0.88
82, 3.2, 0.88
83, 11.3, 0.87
84, 15.9, 0.87
85, 34.9, 0.89
86, 19.0, 0.89
87, 68.2, 0.90
88, 75.4, 0.86
89, 43.5, 0.88
90, 11.3, 0.88
91, 19.4, 0.88
92, 4.7, 0.87
93, 76.9, 0.89
94, 3.3, 0.82
95, 3.2, 0.82
96, 21.0, 0.83
97, 76.6, 0.85
98, 3.2, 0.81
99, 32.3, 0.81
