query_id, real_time(s), user_time(s), sys_time(s)
01, 0.107, 0.258514, 0.057887
02, 0.381, 1.387964, 0.080957
03, 0.111, 0.343280, 0.086275
04, 2.460, 6.192671, 0.606007
05, 0.283, 0.810325, 0.249527
06, 0.132, 0.276487, 0.086714
07, 0.362, 0.950496, 0.323359
08, 0.157, 0.409117, 0.101518
09, 0.593, 2.129950, 0.143919
10, 0.129, 0.379025, 0.065204
11, 1.656, 4.277316, 0.404457
13, 0.342, 1.017619, 0.247388
14, 2.686, 9.392136, 0.719863
14, 1.837, 6.593987, 0.170979
15, 0.069, 0.111909, 0.033275
17, 0.209, 0.555109, 0.163392
18, 0.188, 0.445127, 0.104819
19, 0.160, 0.408890, 0.154845
22, 4.887, 15.353904, 3.384672
23, 2.307, 8.095600, 0.817004
23, 2.218, 8.311078, 0.276675
24, 0.204, 0.536780, 0.176529
24, 0.124, 0.419734, 0.003128
25, 0.072, 0.177067, 0.053346
26, 0.119, 0.300657, 0.085587
27, 0.364, 0.920620, 0.308938
28, 0.633, 2.295363, 0.144940
29, 0.230, 0.641056, 0.178993
30, 0.085, 0.170355, 0.040977
31, 0.226, 0.646521, 0.179806
33, 0.171, 0.439659, 0.197068
34, 0.160, 0.494347, 0.101265
35, 0.297, 0.904273, 0.143257
36, 0.635, 1.110926, 0.268247
38, 0.343, 1.153390, 0.149983
39, 0.212, 0.641499, 0.088270
39, 0.187, 0.623761, 0.024057
41, 0.021, 0.037847, 0.005136
42, 0.094, 0.243144, 0.118447
43, 0.243, 0.848145, 0.092204
44, 0.129, 0.475274, 0.025943
45, 0.084, 0.134173, 0.046216
46, 0.352, 0.889817, 0.192616
47, 0.725, 2.446479, 0.301864
48, 0.320, 0.999049, 0.168364
49, 0.207, 0.545133, 0.232647
50, 0.293, 0.958197, 0.155361
51, 1.910, 6.441435, 0.562315
52, 0.096, 0.254306, 0.105140
53, 0.133, 0.370251, 0.135923
54, 0.145, 0.383848, 0.146323
55, 0.099, 0.269251, 0.106147
56, 0.182, 0.446990, 0.206764
57, 0.256, 0.834974, 0.082487
58, 0.124, 0.317435, 0.140129
59, 0.662, 2.350633, 0.110256
60, 0.200, 0.505317, 0.204170
61, 0.025, 0.053388, 0.021489
62, 0.094, 0.310083, 0.037511
63, 0.141, 0.394073, 0.134693
64, 0.660, 1.983523, 0.380452
65, 0.546, 1.848340, 0.209441
66, 0.116, 0.306789, 0.091407
67, 4.903, 16.693923, 2.004852
68, 0.272, 0.736273, 0.245204
69, 0.139, 0.401155, 0.083860
70, 0.282, 0.967720, 0.102613
71, 0.150, 0.405427, 0.137594
72, 0.331, 0.810347, 0.130880
73, 0.152, 0.445281, 0.122071
74, 1.064, 2.801680, 0.284051
75, 0.544, 1.577768, 0.332182
76, 0.238, 0.647928, 0.253877
78, 1.285, 4.290344, 0.582406
79, 0.240, 0.728784, 0.173654
81, 0.134, 0.210523, 0.045223
83, 0.035, 0.082653, 0.037829
84, 0.046, 0.118188, 0.019787
85, 0.135, 0.355665, 0.099897
86, 0.078, 0.239594, 0.031092
87, 0.381, 1.306647, 0.149616
88, 0.521, 1.866940, 0.083862
89, 0.164, 0.466470, 0.137470
90, 0.037, 0.109292, 0.027076
91, 0.039, 0.106043, 0.015968
93, 0.536, 1.863096, 0.171863
94, 0.067, 0.166697, 0.067473
96, 0.086, 0.255466, 0.079525
97, 0.450, 1.545658, 0.179116
99, 0.125, 0.459397, 0.022983
