query_id | cpu_time(ms) | cpu_used(%) | ram_time(ms) | ram_used(gb)
1 | 2025-04-10 22:08:34.540 | 0 | 2025-04-10 22:08:34.546 | 0
1 | 2025-04-10 22:08:34.486 | 4,2 | 2025-04-10 22:08:34.727 | 1,89
2 | 2025-04-10 22:08:34.805 | 15,1 | 2025-04-10 22:08:35.052 | 1,90
3 | 2025-04-10 22:08:35.136 | 35,2 | 2025-04-10 22:08:35.395 | 1,99
4 | 2025-04-10 22:08:35.476 | 37,7 | 2025-04-10 22:08:35.731 | 1,93
5 | 2025-04-10 22:08:35.811 | 35,3 | 2025-04-10 22:08:36.085 | 2,00
6 | 2025-04-10 22:08:36.164 | 22,4 | 2025-04-10 22:08:36.413 | 1,97
7 | 2025-04-10 22:08:36.491 | 35,6 | 2025-04-10 22:08:36.750 | 1,98
8 | 2025-04-10 22:08:36.832 | 27,2 | 2025-04-10 22:08:37.081 | 1,98
9 | 2025-04-10 22:08:37.163 | 43,5 | 2025-04-10 22:08:37.438 | 2,07
9 | 2025-04-10 22:08:37.540 | 42,1 | 2025-04-10 22:08:37.817 | 1,97
10 | 2025-04-10 22:08:37.893 | 24,4 | 2025-04-10 22:08:38.134 | 2,01
10 | 2025-04-10 22:08:38.217 | 12,8 | 2025-04-10 22:08:38.466 | 2,04
11 | 2025-04-10 22:08:38.551 | 12,4 | 2025-04-10 22:08:38.793 | 2,05
12 | 2025-04-10 22:08:38.873 | 25,1 | 2025-04-10 22:08:39.124 | 2,08
13 | 2025-04-10 22:08:39.203 | 60,7 | 2025-04-10 22:08:39.505 | 2,11
13 | 2025-04-10 22:08:39.596 | 3,6 | 2025-04-10 22:08:39.837 | 2,07
14 | 2025-04-10 22:08:39.915 | 31,8 | 2025-04-10 22:08:40.170 | 2,11
15 | 2025-04-10 22:08:40.254 | 53,4 | 2025-04-10 22:08:40.544 | 2,05
15 | 2025-04-10 22:08:40.632 | 21,4 | 2025-04-10 22:08:40.891 | 2,03
16 | 2025-04-10 22:08:40.982 | 36,2 | 2025-04-10 22:08:41.241 | 2,04
17 | 2025-04-10 22:08:41.323 | 35,9 | 2025-04-10 22:08:41.559 | 2,06
18 | 2025-04-10 22:08:41.641 | 63,5 | 2025-04-10 22:08:41.957 | 2,12
18 | 2025-04-10 22:08:42.073 | 45,7 | 2025-04-10 22:08:42.371 | 2,01
19 | 2025-04-10 22:08:42.464 | 44,8 | 2025-04-10 22:08:42.751 | 2,01
19 | 2025-04-10 22:08:42.858 | 40,3 | 2025-04-10 22:08:43.142 | 1,98
20 | 2025-04-10 22:08:43.232 | 50,0 | 2025-04-10 22:08:43.481 | 2,05
21 | 2025-04-10 22:08:43.566 | 43,8 | 2025-04-10 22:08:43.819 | 2,08
21 | 2025-04-10 22:08:43.893 | 30,3 | 2025-04-10 22:08:44.141 | 1,99
22 | 2025-04-10 22:08:44.217 | 22,9 | 2025-04-10 22:08:44.459 | 2,01
