query_id, cpu_used(%), ram_used(gb)
1, 84.4, 0.94
1, 89.4, 1.01
1, 91.0, 1.08
1, 90.8, 1.15
1, 89.1, 1.25
1, 92.3, 1.34
1, 89.4, 1.48
1, 90.9, 1.61
1, 71.4, 1.53
2, 76.9, 0.89
2, 6.5, 0.79
3, 75.0, 0.85
3, 91.0, 0.97
3, 73.4, 1.12
3, 84.1, 1.28
3, 84.6, 1.43
3, 82.1, 1.64
3, 84.8, 1.86
3, 47.6, 1.35
4, 75.8, 1.05
4, 81.8, 1.16
4, 87.7, 1.28
4, 89.4, 1.39
4, 89.4, 1.51
4, 89.7, 1.62
4, 50.0, 1.04
5, 70.3, 1.12
5, 82.8, 1.21
5, 83.3, 1.32
5, 84.6, 1.46
5, 86.8, 1.61
5, 86.2, 1.75
5, 87.7, 1.89
5, 84.8, 2.06
5, 0.0, 0.96
6, 63.1, 1.14
6, 67.7, 1.46
6, 68.8, 1.77
6, 1.6, 1.06
7, 65.1, 1.16
7, 71.9, 1.42
7, 71.4, 1.70
7, 68.8, 1.97
7, 69.2, 2.26
7, 95.5, 2.29
7, 95.5, 2.34
7, 97.0, 2.38
7, 81.5, 2.42
7, 1.6, 0.93
8, 73.8, 1.04
8, 80.3, 1.24
8, 81.5, 1.44
8, 80.0, 1.63
8, 78.1, 1.82
8, 78.5, 2.05
8, 86.2, 2.24
8, 52.4, 1.79
9, 57.8, 1.37
9, 70.6, 1.61
9, 68.7, 1.83
9, 81.8, 2.06
9, 40.0, 2.68
9, 98.5, 2.85
9, 98.5, 2.85
9, us., 2.85
9, 89.2, 2.98
9, 90.9, 3.11
9, 90.9, 3.25
9, 89.4, 3.40
9, 90.9, 3.53
9, 89.1, 3.69
9, 89.4, 3.82
9, 88.1, 3.97
9, 89.4, 4.10
9, 88.1, 4.25
9, 90.9, 4.39
9, 89.2, 4.53
9, 3.2, 1.99
10, 66.7, 1.22
10, 83.1, 1.34
10, 84.4, 1.47
10, 84.8, 1.62
10, 85.9, 1.77
10, 87.7, 1.92
10, 86.4, 2.08
10, 84.8, 2.28
10, 85.9, 2.49
10, 87.9, 2.69
10, 27.0, 1.64
11, 73.4, 1.04
11, 1.6, 1.05
12, 69.4, 1.13
12, 78.5, 1.29
12, 75.4, 1.49
12, 79.1, 1.67
12, 95.5, 1.72
12, 3.3, 0.98
13, 58.7, 1.08
13, 92.4, 1.17
13, 92.4, 1.23
13, 95.5, 1.33
13, 92.4, 1.39
13, 93.9, 1.44
13, 93.9, 1.51
13, 93.9, 1.58
13, 92.4, 1.64
13, 92.5, 1.72
13, 91.0, 1.79
13, 92.4, 1.86
13, 92.4, 1.93
13, 92.4, 2.00
13, 84.8, 2.06
13, 75.8, 1.90
14, 57.8, 1.09
14, 75.4, 1.30
14, 73.4, 1.58
14, 73.4, 1.86
14, 44.3, 2.04
14, 4.8, 1.17
15, 63.5, 1.28
15, 67.2, 1.48
15, 67.7, 1.69
15, 75.4, 1.98
15, us., 1.98
15, 98.5, 1.99
15, 39.7, 2.01
15, 1.6, 0.88
16, 73.4, 0.97
16, 87.9, 1.10
16, 92.3, 1.17
17, 75.4, 1.21
17, 83.1, 1.31
17, 84.6, 1.42
17, 81.8, 1.55
17, 83.3, 1.69
17, us., 1.76
17, us., 1.76
17, 98.5, 1.76
17, 44.6, 0.92
18, 66.7, 1.00
18, 87.9, 1.15
18, 87.5, 1.30
18, 84.1, 1.46
18, 83.3, 1.62
18, 85.1, 1.78
18, 86.4, 1.99
18, 86.2, 2.20
18, 98.5, 2.20
18, 98.5, 2.20
18, 75.8, 2.25
18, 90.6, 2.25
18, 98.5, 2.25
18, 1.6, 0.99
19, 46.2, 1.12
19, 81.2, 1.28
19, 78.8, 1.46
19, 80.6, 1.64
19, 83.3, 1.83
19, 82.1, 2.07
19, 82.1, 2.32
19, 20.6, 1.01
20, 81.5, 1.01
20, 75.8, 1.22
20, 72.3, 1.47
20, 71.9, 1.72
20, 71.6, 1.99
20, 12.7, 0.95
21, 70.8, 1.07
21, 80.0, 1.30
21, 78.8, 1.54
21, 77.3, 1.76
21, 63.1, 1.99
21, 92.3, 2.04
21, 90.9, 2.13
21, 87.9, 2.19
21, 98.5, 2.22
21, 98.5, 2.22
21, us., 2.22
21, us., 2.22
21, 97.0, 2.22
21, 97.0, 2.29
21, 98.5, 2.29
21, us., 2.29
21, us., 2.29
21, 98.5, 2.29
21, 1.6, 0.73
22, 85.9, 0.77
22, 92.3, 0.81
22, 95.4, 0.85
22, 28.6, 0.70
