query_id, real_time(s), user_time(s), sys_time(s)
1, 0.250, 0.870071, 0.096407
2, 0.040, 0.068877, 0.029452
3, 0.169, 0.498294, 0.123150
4, 0.136, 0.416433, 0.084110
5, 0.166, 0.487309, 0.108021
6, 0.073, 0.194686, 0.091865
7, 0.183, 0.541431, 0.136657
8, 0.157, 0.421345, 0.146229
9, 0.465, 1.430794, 0.305368
10, 0.275, 0.790148, 0.155177
11, 0.035, 0.099492, 0.017849
12, 0.125, 0.380852, 0.100802
13, 0.374, 1.271894, 0.110502
14, 0.118, 0.272676, 0.125712
14, 0.004, 0.000013, 0.000962
15, 0.135, 0.432782, 0.093772
15, 0.004, 0.000494, 0.000109
16, 0.081, 0.227574, 0.048321
17, 0.133, 0.399173, 0.107383
18, 0.359, 1.215047, 0.140331
19, 0.217, 0.594334, 0.176973
20, 0.144, 0.412388, 0.126827
21, 0.422, 1.372315, 0.141003
22, 0.061, 0.160719, 0.016218
