query,time (ms)
query 1,1318.0
query 2,40861.0
query 3,15.0
query 6,111.0
query 7,59.0
query 9,141.0
query 12,104.0
query 13,100.5
query 17,1294.0
query 20,104.5
query 21,53.5
query 24,9666.0
query 25,1233.0
query 26,47.5
query 29,1233.0
query 30,256.5
query 32,9380.0
query 33,138.0
query 34,235.5
query 37,28653.0
query 40,71.0
query 41,74.5
query 42,17.0
query 43,20.0
query 46,833.0
query 48,53.0
query 50,92.5
query 52,14.5
query 53,96.0
query 54,22611.0
query 55,14.0
query 56,102.0
query 58,131.5
query 59,586.0
query 60,113.5
query 61,71.0
query 62,23.0
query 63,97.5
query 64,441.0
query 65,350.0
query 68,104.5
query 71,2464.5
query 73,44.0
query 79,1133.0
query 81,603.0
query 82,59143.0
query 83,127.0
query 89,331.0
query 91,21.5
query 92,4642.5
query 93,85.0
query 96,12.0
query 98,265.5
query 99,28.0
