query,time (ms)
query 1,50.0
query 2,8220.0
query 3,7.0
query 7,12.0
query 9,62.0
query 12,47.0
query 13,20.0
query 17,64.0
query 20,46.0
query 21,23.0
query 24,91.0
query 25,15.0
query 26,11.0
query 29,15.0
query 30,50.0
query 32,3519.0
query 33,61.0
query 34,19.0
query 37,10.0
query 40,35.0
query 41,51.0
query 42,7.0
query 43,11.0
query 46,20.0
query 48,14.0
query 50,18.0
query 52,7.0
query 53,46.0
query 55,7.0
query 56,62.0
query 59,145.0
query 60,60.0
query 61,29.0
query 62,16.0
query 63,46.0
query 64,147.0
query 65,27.0
query 68,21.0
query 71,38.0
query 73,18.0
query 78,45.0
query 79,18.0
query 81,54.0
query 82,11.0
query 83,79.0
query 89,275.0
query 91,13.0
query 92,61.0
query 93,10.0
query 95,42.0
query 96,8.0
query 98,46.0
query 99,15.0
