query, start at (ms), end at (ms), time (ms)
query 1, 2025-04-18 14:42:49.302, 2025-04-18 14:42:49.603, 62
query 2, 2025-04-18 14:42:49.604, 2025-04-18 14:42:50.914, 924
query 3, 2025-04-18 14:42:50.915, 2025-04-18 14:42:52.799, 397
query 4, 2025-04-18 14:42:52.800, 2025-04-18 14:42:55.477, 2338
query 5, 2025-04-18 14:42:55.479, 2025-04-18 14:42:55.770, 53
query 6, 2025-04-18 14:42:55.772, 2025-04-18 14:42:56.029, 19
query 7, 2025-04-18 14:42:56.030, 2025-04-18 14:42:56.331, 61
query 8, 2025-04-18 14:42:56.332, 2025-04-18 14:42:56.690, 119
query 9, 2025-04-18 14:42:56.691, 2025-04-18 14:42:57.205, 273
query 10, 2025-04-18 14:42:57.206, 2025-04-18 14:42:57.546, 
query 11, 2025-04-18 14:42:57.548, 2025-04-18 14:42:57.787, 
query 12, 2025-04-18 14:42:57.788, 2025-04-18 14:42:58.055, 28
query 13, 2025-04-18 14:42:58.057, 2025-04-18 14:42:58.547, 245
query 14, 2025-04-18 14:42:58.549, 2025-04-18 14:42:58.835, 
query 15, 2025-04-18 14:42:58.836, 2025-04-18 14:42:59.077, 
query 16, 2025-04-18 14:42:59.079, 2025-04-18 14:43:05.128, 5080
query 17, 2025-04-18 14:43:05.129, 2025-04-18 14:43:06.731, 1339
query 18, 2025-04-18 14:43:06.733, 2025-04-18 14:43:10.849, 3720
query 19, 2025-04-18 14:43:10.851, 2025-04-18 14:43:11.209, 119
query 20, 2025-04-18 14:43:11.211, 2025-04-18 14:43:13.208, 1645
query 21, 2025-04-18 14:43:13.210, 2025-04-18 14:43:13.516, 
query 22, 2025-04-18 14:43:13.517, 2025-04-18 14:43:14.523, 
