query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,3983,71.36,19.0,1.9,4.1,26.47
query 2,44711,100.0,44.0,9.41,8.12,33.24
query 3,1051,53.03,30.0,6.41,8.12,26.24
query 6,1852,58.4,13.0,6.25,8.12,34.71
query 7,804,64.41,11.0,6.26,8.12,28.69
query 9,1314,83.42,30.0,6.25,8.12,26.16
query 13,742,70.6,1.0,6.37,8.12,25.57
query 17,2605,67.25,95.0,6.36,8.12,73.38
query 24,22473,70.45,5.0,6.31,8.12,34.41
query 25,2140,51.65,88.0,6.22,8.12,61.71
query 26,1332,59.85,99.0,6.2,8.12,34.45
query 29,1501,62.41,92.0,6.22,8.12,62.29
query 30,2269,61.21,95.0,6.22,8.12,70.74
query 33,1532,59.05,13.0,6.2,8.12,32.18
query 34,1451,58.59,14.0,6.19,8.12,40.79
query 41,2641,49.87,1.0,6.24,8.12,25.67
query 42,308,59.05,0.0,6.22,8.12,25.86
query 43,415,69.85,4.0,6.24,8.12,27.52
query 46,1570,54.14,15.0,6.22,8.12,25.85
query 48,342,67.84,1.0,6.19,8.12,25.49
query 50,997,66.75,33.0,6.21,8.12,50.79
query 52,837,57.79,26.0,6.23,8.12,26.16
query 53,793,59.9,4.0,6.23,8.12,39.96
query 54,33953,100.0,30.0,7.96,8.12,33.04
query 55,837,52.39,31.0,6.94,8.12,35.39
query 56,1376,53.16,4.0,6.28,8.12,28.95
query 58,2042,57.54,3.0,6.27,8.12,25.77
query 59,3284,64.72,33.0,6.29,8.12,47.33
query 60,642,58.65,9.0,6.27,8.12,31.63
query 61,1174,58.4,12.0,6.25,8.12,43.16
query 62,388,53.42,1.0,6.27,8.12,47.03
query 63,408,66.25,11.0,6.27,8.12,28.81
query 64,3609,68.94,49.0,6.27,8.12,54.65
query 65,4260,98.0,62.0,6.5,8.12,34.73
query 68,1685,55.05,26.0,6.34,8.12,38.3
query 71,4607,99.25,20.0,6.44,8.12,28.2
query 73,1423,49.0,15.0,6.27,8.12,26.06
query 78,58765,100.0,98.0,12.44,8.12,50.41
query 79,1941,69.79,13.0,6.28,8.12,39.47
query 81,2533,69.4,12.0,6.29,8.12,29.82
query 83,1622,58.5,12.0,6.27,8.12,25.96
query 89,1393,48.23,25.0,6.26,8.12,41.14
query 91,351,48.23,12.0,6.28,8.12,25.96
query 93,365,48.23,12.0,6.28,8.12,25.96
query 96,254,54.52,12.0,6.27,8.12,25.96
query 99,935,48.23,12.0,6.27,8.12,25.96
