query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,1043,67.42,18,5.82,4.14,26.5
query 2,20426,100.0,16,7.19,4.14,28.28
query 3,421,45.48,16,5.6,4.14,26.17
query 6,104,44.95,0,5.85,4.14,25.64
query 7,170,46.1,9,5.82,4.14,27.79
query 9,144,59.45,0,5.82,4.14,25.74
query 13,151,45.86,0,5.7,4.14,25.74
query 17,840,45.23,63,5.86,4.14,48.3
query 24,8913,50.25,3,5.83,4.14,26.47
query 25,709,44.19,40,5.86,4.14,50.22
query 26,243,43.64,73,5.84,4.14,27.28
query 29,620,44.61,51,5.84,4.14,50.26
query 30,828,47.75,65,5.92,4.14,50.54
query 33,198,44.67,0,6.03,4.14,31.29
query 34,401,52.14,19,5.98,4.14,26.06
query 41,70,43.4,0,5.64,4.14,25.64
query 42,18,43.32,1,5.65,4.14,25.64
query 43,20,43.8,2,5.63,4.14,25.7
query 46,485,47.22,5,5.84,4.14,25.95
query 48,33,44.33,0,5.87,4.14,25.64
query 50,392,43.97,0,5.92,4.14,41.63
query 52,344,44.25,13,6.14,4.14,27.89
query 53,89,61.79,20,6.12,4.14,25.74
query 54,15558,100.0,22,6.79,4.14,28.38
query 55,349,44.72,15,5.78,4.14,25.74
query 56,101,45.57,15,6.0,4.14,25.74
query 58,127,48.99,2,5.94,4.14,25.84
query 59,438,48.87,9,5.95,4.14,29.17
query 60,116,45.2,3,5.84,4.14,25.64
query 61,52,43.43,0,5.83,4.14,26.33
query 62,53,43.83,0,5.84,4.14,40.94
query 63,82,44.92,6,5.8,4.14,25.64
query 64,1209,47.61,48,6.12,4.14,42.02
query 65,1290,67.68,23,6.35,4.14,30.43
query 68,436,50.88,0,6.12,4.14,25.94
query 71,1396,81.36,18,6.0,4.14,25.94
query 73,371,44.47,0,5.91,4.14,25.84
query 78,28931,100.0,60,8.69,4.14,47.13
query 79,423,47.62,0,5.71,4.14,28.18
query 81,1062,53.79,17,6.11,4.14,27.4
query 83,137,44.64,1,6.05,4.14,25.74
query 89,435,44.0,11,5.94,4.14,35.82
query 91,56,43.58,5,5.98,4.14,25.66
query 93,48,44.58,7,5.93,4.14,25.75
query 96,14,42.93,0,5.88,4.14,25.84
query 99, 285,32.24,0,5.84,4.14,25.75
