query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,222,60.25,,,,
query 2,1074,83.46,83.0,8.18,8.12,56.14
query 3,256,51.96,76.0,8.12,8.12,31.77
query 4,4772,99.5,28.0,9.23,8.12,33.14
query 5,64,44.22,21.0,8.41,8.12,25.39
query 6,15,44.33,7.0,8.38,8.12,32.15
query 7,67,44.58,17.0,8.36,8.12,25.56
query 8,143,43.97,20.0,8.37,8.12,25.57
query 9,278,43.22,58.0,8.35,8.12,43.77
query 10,976,42.11,67.0,8.31,8.12,64.31
query 12,30,56.61,0.0,8.2,8.12,25.54
query 13,333,56.39,8.0,8.19,8.12,35.94
query 16,10037,48.37,21.0,10.43,12.12,33.55
query 17,1875,98.0,84.0,8.23,12.12,44.11
query 18,8894,100.0,41.0,11.24,12.12,48.09
query 19,161,54.02,0.0,8.18,12.12,25.43
query 20, 1848,92.54,72.0,8.54,12.12,52.83
