query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,16369,74.24,21.0,5.4,8.12,26.03
query 2,1879,83.71,100.0,8.2,12.12,59.0
query 3,4757,71.0,76.0,8.13,12.12,32.48
query 4,8223,100.0,40.0,9.26,12.12,39.62
query 5,2778,72.47,21.0,8.41,12.12,26.13
query 6,271,48.12,40.0,8.38,12.12,52.96
query 7,319,52.0,17.0,8.36,12.12,27.76
query 8,2080,70.38,26.0,8.37,12.12,36.31
query 9,881,60.56,74.0,8.35,12.12,54.33
query 10,1957,44.36,93.0,8.31,12.12,69.68
query 12,992,70.78,15.0,8.21,12.12,27.81
query 13,1832,92.29,21.0,8.2,12.12,35.94
query 16,10037,52.0,23.0,10.43,12.12,33.55
query 17,2629,98.5,84.0,8.27,12.12,50.72
query 18,13551,100.0,50.0,12.69,12.12,48.09
query 19,1446,67.42,38.0,8.18,12.12,25.63
query 20,4444,92.54,72.0,8.68,12.12,52.83
