query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,361.0,54.41,13.67,3.64,4.12,26.1
query 2,745.33,62.28,17.0,4.79,5.45,26.65
query 3,487.0,48.84,16.64,4.89,5.45,25.87
query 4,2803.0,80.32,5.23,5.4,5.45,25.69
query 5,182.0,46.14,14.13,5.2,5.45,25.56
query 6,87.67,45.11,10.0,5.13,5.45,29.73
query 7,116.33,45.77,4.33,5.14,5.45,25.9
query 8,215.33,47.65,6.27,5.15,5.45,27.78
query 9,255.33,45.38,14.87,5.21,5.45,28.6
query 10,740.33,43.51,23.56,5.23,5.45,27.62
query 12,134.0,57.1,0.0,5.22,5.45,25.42
query 13,507.67,54.92,1.7,5.25,5.45,25.56
query 16,6462.0,45.26,3.05,6.16,6.74,25.53
query 17,1229.33,75.26,11.01,5.25,6.79,28.01
query 18,5370.0,83.54,5.61,5.76,6.79,25.73
query 19,219.33,56.68,10.6,5.36,6.79,25.59
query 20,1643.33,68.36,13.51,5.53,6.79,28.29
query 22,561.0,42.88,0.93,5.56,6.79,25.49
