query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,1687,18.92,15,3.9,3.75,10.87
query 2,1835,65.45,9,3.95,3.75,10.97
query 3,473,11.99,11,3.32,3.7,11.07
query 6,808,12.13,2,3.28,3.7,10.95
query 7,256,15.68,1,3.27,3.7,10.79
query 9,526,15.67,6,3.42,3.7,10.84
query 13,226,23.53,7,3.45,3.7,10.93
query 17,796,18.43,31,3.74,3.74,12.15
query 24,1510,15.24,14,3.6,3.73,11.03
query 25,583,12.02,19,3.84,3.73,11.51
query 26,184,13.21,16,3.67,3.73,12.07
query 29,737,11.51,24,3.9,3.73,12.04
query 33,884,13.67,8,3.67,3.73,11.44
query 34,693,24.29,26,3.87,3.72,11.12
query 41,1117,11.69,1,3.74,3.73,10.8
query 42,119,12.05,1,3.73,3.73,10.81
query 43,124,12.37,0,3.71,3.73,10.84
query 46,735,13.83,13,4.01,3.73,10.92
query 48,146,16.42,1,3.85,3.73,10.99
query 50,162,12.88,2,3.84,3.73,10.88
query 52,421,11.26,6,3.91,3.73,10.95
query 53,390,11.06,16,3.76,3.73,11.02
query 54,1900,42.74,16,4.18,3.73,10.98
query 55,489,10.9,12,3.94,3.73,10.98
query 56,673,11.46,10,3.87,3.73,10.98
query 58,986,11.29,2,3.84,3.73,10.94
query 59,975,10.85,3,3.84,3.73,10.94
query 60,336,11.58,2,3.81,3.73,10.96
query 61,527,11.77,5,3.81,3.73,11.01
query 62,161,12.31,0,3.79,3.73,10.98
query 63,182,12.16,1,3.81,3.73,10.92
query 64,1304,10.53,28,4.06,3.73,11.67
query 65,537,11.87,5,3.94,3.73,11.84
query 68,733,26.11,14,4.13,3.73,10.92
query 71,1177,12.63,10,4.13,3.73,10.86
query 73,662,10.81,17,4.11,3.73,11.03
query 78,2625,67.08,23,4.53,3.73,11.85
query 79,651,11.07,23,4.24,3.73,11.36
query 81,1206,11.39,13,4.26,3.73,11.04
query 83,814,11.41,2,4.07,3.73,10.91
query 89,696,10.75,22,4.18,3.73,11.07
query 91,135,11.42,1,3.96,3.73,11.0
query 93,122,11.14,2,3.99,3.73,10.93
query 96,106,10.69,1,3.95,3.73,10.97
query 99, 153,6.21,1,3.91,3.73,10.88
