CPU_time(ms), CPU_USAGE(%), GPU_time(ms), GPU_USAGE(%), RAM_time(ms), RAM_USED(Gb), VRAM_time(ms), VRAM_USED(Gb), POWER_time(ms), POWER_USE(W)
2025-04-06 13:13:59.174, 5.52, 2025-04-06 13:14:00.179, 17, 2025-04-06 13:14:00.198, 3.83, 2025-04-06 13:14:00.201, 3.73, 2025-04-06 13:14:00.219, 5.97
2025-04-06 13:13:59.278, 6.41, 2025-04-06 13:14:00.283, 17, 2025-04-06 13:14:00.301, 4.00, 2025-04-06 13:14:00.304, 3.73, 2025-04-06 13:14:00.323, 6.58
2025-04-06 13:13:59.380, 7.90, 2025-04-06 13:14:00.385, 15, 2025-04-06 13:14:00.403, 3.83, 2025-04-06 13:14:00.406, 3.73, 2025-04-06 13:14:00.424, 7.22
2025-04-06 13:13:59.483, 9.03, 2025-04-06 13:14:00.488, 15, 2025-04-06 13:14:00.506, 3.83, 2025-04-06 13:14:00.510, 3.73, 2025-04-06 13:14:00.527, 7.79
2025-04-06 13:13:59.586, 10.26, 2025-04-06 13:14:00.591, 1, 2025-04-06 13:14:00.618, 3.85, 2025-04-06 13:14:00.623, 3.73, 2025-04-06 13:14:00.650, 8.39
2025-04-06 13:13:59.687, 17.95, 2025-04-06 13:14:00.698, 1, 2025-04-06 13:14:00.731, 3.90, 2025-04-06 13:14:00.741, 3.73, 2025-04-06 13:14:00.763, 9.66
2025-04-06 13:13:59.788, 25.03, 2025-04-06 13:14:00.792, 3, 2025-04-06 13:14:00.825, 3.96, 2025-04-06 13:14:00.832, 3.73, 2025-04-06 13:14:00.857, 10.23
2025-04-06 13:13:59.889, 34.00, 2025-04-06 13:14:00.895, 3, 2025-04-06 13:14:00.915, 3.98, 2025-04-06 13:14:00.919, 3.73, 2025-04-06 13:14:00.949, 10.23
2025-04-06 13:13:59.991, 39.77, 2025-04-06 13:14:00.995, 6, 2025-04-06 13:14:01.030, 4.02, 2025-04-06 13:14:01.037, 3.73, 2025-04-06 13:14:01.065, 10.77
2025-04-06 13:14:00.092, 47.33, 2025-04-06 13:14:01.097, 6, 2025-04-06 13:14:01.130, 4.12, 2025-04-06 13:14:01.137, 3.73, 2025-04-06 13:14:01.164, 10.74
2025-04-06 13:14:00.193, 55.55, 2025-04-06 13:14:01.198, 0, 2025-04-06 13:14:01.223, 4.17, 2025-04-06 13:14:01.230, 3.73, 2025-04-06 13:14:01.250, 10.74
2025-04-06 13:14:00.295, 58.90, 2025-04-06 13:14:01.299, 0, 2025-04-06 13:14:01.317, 3.92, 2025-04-06 13:14:01.320, 3.73, 2025-04-06 13:14:01.337, 10.72
2025-04-06 13:14:00.396, 58.23, 2025-04-06 13:14:01.399, 5, 2025-04-06 13:14:01.417, 3.91, 2025-04-06 13:14:01.420, 3.73, 2025-04-06 13:14:01.438, 10.68
2025-04-06 13:14:00.497, 58.23, 2025-04-06 13:14:01.501, 5, 2025-04-06 13:14:01.521, 3.94, 2025-04-06 13:14:01.524, 3.73, 2025-04-06 13:14:01.542, 10.66
