query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,516,32.815999999999995,17.0,,,
query 2,697,47.62142857142857,6.285714285714286,3.91,3.73,9.184285714285716
query 3,228,11.35,5.0,3.923333333333333,3.73,10.686666666666667
query 6,45,10.45,1.0,3.98,3.73,10.78
query 7,33,10.71,1.0,3.99,3.73,10.8
query 9,67,25.69,2.0,4.02,3.73,10.75
query 13,21,14.26,2.0,3.93,3.73,10.71
query 17,308,11.803333333333333,1.0,3.963333333333333,3.73,10.946666666666667
query 24,842,10.463333333333336,0.5555555555555556,3.89,3.73,10.68375
query 25,283,10.343333333333334,6.666666666666667,3.8966666666666665,3.73,10.763333333333334
query 26,35,10.86,23.0,3.91,3.73,11.6
query 29,298,10.53,3.0,3.926666666666667,3.73,12.053333333333333
query 33,57,14.5,1.0,3.94,3.73,12.05
query 34,239,26.265,3.0,3.945,3.73,11.49
query 41,41,10.79,1.0,3.9,3.73,10.76
query 42,9,11.01,1.0,3.93,3.73,10.73
query 43,12,10.99,2.0,3.91,3.73,10.75
query 46,255,10.74,3.6666666666666665,3.92,3.73,10.795
query 48,14,11.59,1.0,3.93,3.73,10.93
query 50,45,11.47,1.0,3.89,3.73,10.98
query 52,227,29.505000000000003,3.5,3.89,3.73,10.956666666666663
query 53,52,36.32,21.0,4.1,3.73,11.03
query 54,710,32.658571428571435,1.8571428571428568,4.010000000000001,3.73,10.98857142857143
query 55,226,10.616666666666667,3.6666666666666665,4.046666666666667,3.73,10.94
query 56,99,11.31,21.0,4.09,3.73,10.95
query 58,99,12.5,7.0,4.08,3.73,10.96
query 59,104,12.26,4.0,4.06,3.73,10.97
query 60,105,11.28,1.0,3.97,3.73,10.99
query 61,24,10.87,5.0,3.98,3.73,11.0
query 62,13,10.46,2.0,3.98,3.73,10.99
query 63,48,10.37,3.0,3.99,3.73,11.06
query 64,572,10.874,9.333333333333334,4.010000000000001,3.73,11.26
query 65,46,10.75,24.0,3.98,3.73,11.96
query 68,243,25.765,1.0,3.945,3.73,11.47
query 71,287,12.27,1.0,3.966666666666667,3.73,10.96
query 73,231,10.3,1.0,4.04,3.73,10.946666666666667
query 78,1715,46.82625,15.588235294117649,4.1917647058823535,3.73,11.458823529411765
query 79,247,10.21,12.0,3.96,3.73,11.44
query 81,519,10.36,4.8,4.02,3.73,11.078
query 83,94,10.03,1.0,4.0,3.73,10.98
query 89,271,11.12,5.0,3.9933333333333336,3.73,10.965
query 91,16,11.91,1.0,4.01,3.73,11.16
query 93,15,11.33,3.0,4.02,3.73,11.21
query 96,8,9.73,1.0,4.05,3.73,10.95
query 99, 14,5.84,1.0,3.97,3.73,10.9
