query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,30.67,11.18,2.33,4.76,3.75,
query 2,52.0,13.8,6.67,4.77,3.75,6.07
query 3,234.33,14.65,5.33,4.81,3.75,8.62
query 4,153.67,14.51,11.33,4.88,3.75,10.54
query 5,13.33,11.34,5.67,4.91,3.75,11.41
query 6,5.33,10.13,13.67,4.81,3.75,11.41
query 7,13.33,10.17,3.0,4.83,3.75,11.37
query 8,24.0,10.32,1.0,4.83,3.75,11.29
query 9,26.67,11.03,3.0,4.81,3.75,11.3
query 10,268.0,11.26,11.0,4.95,3.75,11.85
query 12,10.0,10.77,1.0,4.92,3.75,11.69
query 13,19.67,10.74,1.33,4.92,3.75,11.35
query 16,2849.0,20.42,18.0,5.2,3.75,11.22
query 17,63.0,23.19,0.0,4.93,3.75,10.97
query 18,513.67,22.07,15.67,5.09,3.75,11.37
query 19,19.0,12.48,22.0,5.16,3.75,11.47
query 20,320.0,12.36,11.67,5.11,3.75,11.75
query 22,50.67,6.14,1.0,5.0,3.75,11.69
