query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,33,10.78,0.0,4.71,3.75,
query 2,51,13.56,6.0,4.74,3.75,4.57
query 3,232,14.295,2.0,4.79,3.75,6.915
query 4,153,14.175,2.0,4.865,3.75,9.67
query 5,14,10.55,13.0,4.9,3.75,11.27
query 6,5,9.88,5.0,4.79,3.75,11.34
query 7,13,9.89,3.0,4.81,3.75,11.32
query 8,23,10.13,1.0,4.83,3.75,11.24
query 9,26,10.83,3.0,4.8,3.75,11.28
query 10,268,10.64,8.333333333333334,4.866666666666667,3.75,11.805
query 12,10,10.53,1.0,4.94,3.75,11.83
query 13,20,10.6,1.0,4.94,3.75,11.64
query 16,4834,10.488541666666668,0.9166666666666666,5.141666666666667,3.75,10.960833333333335
query 17,63,23.05,0.0,4.93,3.75,10.95
query 18,518,19.368,9.4,4.99,3.75,11.306
query 19,19,13.0,25.0,5.34,3.75,11.51
query 20,318,11.715000000000002,8.666666666666666,5.015000000000001,3.75,11.596666666666666
query 22, 54,6.21,2.0,4.98,3.75,11.72
