CPU_time(ms), CPU_USAGE(%), GPU_time(ms), GPU_USAGE(%), RAM_time(ms), RAM_USED(Gb), VRAM_time(ms), VRAM_USED(Gb), POWER_time(ms), POWER_USE(W)
2025-04-06 13:23:57.723, 3.93, 2025-04-06 13:23:58.727, 5, 2025-04-06 13:23:58.747, 4.81, 2025-04-06 13:23:58.750, 3.75, 2025-04-06 13:23:58.768, 7.60
2025-04-06 13:23:57.826, 4.82, 2025-04-06 13:23:58.831, 5, 2025-04-06 13:23:58.849, 4.81, 2025-04-06 13:23:58.853, 3.75, 2025-04-06 13:23:58.870, 8.21
2025-04-06 13:23:57.928, 5.82, 2025-04-06 13:23:58.933, 5, 2025-04-06 13:23:58.952, 4.80, 2025-04-06 13:23:58.955, 3.75, 2025-04-06 13:23:58.972, 9.16
2025-04-06 13:23:58.029, 5.71, 2025-04-06 13:23:59.033, 12, 2025-04-06 13:23:59.051, 4.79, 2025-04-06 13:23:59.055, 3.75, 2025-04-06 13:23:59.073, 9.82
2025-04-06 13:23:58.130, 6.45, 2025-04-06 13:23:59.134, 12, 2025-04-06 13:23:59.153, 4.79, 2025-04-06 13:23:59.157, 3.75, 2025-04-06 13:23:59.176, 10.43
2025-04-06 13:23:58.233, 7.98, 2025-04-06 13:23:59.237, 9, 2025-04-06 13:23:59.256, 4.81, 2025-04-06 13:23:59.259, 3.75, 2025-04-06 13:23:59.277, 11.00
2025-04-06 13:23:58.334, 8.84, 2025-04-06 13:23:59.339, 9, 2025-04-06 13:23:59.358, 4.81, 2025-04-06 13:23:59.361, 3.75, 2025-04-06 13:23:59.379, 11.46
2025-04-06 13:23:58.436, 9.41, 2025-04-06 13:23:59.441, 12, 2025-04-06 13:23:59.459, 4.94, 2025-04-06 13:23:59.463, 3.75, 2025-04-06 13:23:59.480, 11.59
2025-04-06 13:23:58.538, 10.21, 2025-04-06 13:23:59.542, 12, 2025-04-06 13:23:59.561, 5.07, 2025-04-06 13:23:59.565, 3.75, 2025-04-06 13:23:59.584, 11.61
2025-04-06 13:23:58.640, 10.98, 2025-04-06 13:23:59.644, 18, 2025-04-06 13:23:59.663, 4.87, 2025-04-06 13:23:59.666, 3.75, 2025-04-06 13:23:59.684, 11.69
2025-04-06 13:23:58.740, 11.71, 2025-04-06 13:23:59.744, 18, 2025-04-06 13:23:59.762, 4.87, 2025-04-06 13:23:59.766, 3.75, 2025-04-06 13:23:59.784, 11.70
