query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,357.33,57.9,15.0,3.42,4.12,25.99
query 2,4113.67,92.97,0.66,3.28,4.12,25.68
query 3,125.67,44.77,0.83,3.16,4.12,26.02
query 6,75.33,50.51,0.0,3.16,4.12,25.65
query 7,148.67,50.67,2.17,3.16,4.12,25.91
query 9,103.67,57.86,0.0,3.18,4.12,25.65
query 13,40.67,46.52,0.0,3.15,4.12,25.67
query 17,211.67,44.28,1.08,3.12,4.12,25.68
query 24,984.0,42.78,0.27,3.16,4.12,25.79
query 25,173.67,44.04,1.83,3.14,4.12,27.67
query 26,133.0,43.74,15.0,3.2,4.12,26.19
query 29,178.0,48.2,2.25,3.18,4.12,29.54
query 30,314.67,46.27,13.24,3.23,4.12,25.97
query 33,110.0,47.19,0.0,3.32,4.12,25.68
query 34,150.0,59.01,5.78,3.3,4.12,27.12
query 41,78.67,47.09,0.0,3.19,4.12,25.65
query 42,15.67,46.86,0.0,3.17,4.12,25.98
query 43,18.0,46.71,3.0,3.16,4.12,25.68
query 44,161.33,44.03,0.17,3.17,4.12,26.09
query 46,166.0,44.29,5.0,3.12,4.12,25.78
query 48,21.33,47.61,1.33,3.13,4.12,25.69
query 50,64.0,45.9,0.67,3.1,4.12,25.67
query 52,120.33,47.13,4.56,3.1,4.12,25.68
query 53,71.0,65.36,5.67,3.14,4.12,26.68
query 54,2723.0,89.46,0.9,3.21,4.12,25.71
query 55,121.0,44.51,1.44,3.28,4.12,26.84
query 56,257.0,44.97,2.44,3.23,4.12,25.98
query 58,189.33,45.26,0.0,3.2,4.12,25.64
query 59,155.67,45.61,4.67,3.2,4.12,25.79
query 60,248.0,44.19,4.33,3.2,4.12,25.75
query 61,41.33,43.8,8.67,3.25,4.12,26.32
query 62,21.33,44.52,0.33,3.22,4.12,25.67
query 63,73.0,44.63,1.67,3.19,4.12,25.68
query 64,400.33,46.28,3.48,3.19,4.12,26.31
query 65,102.67,46.79,14.33,3.21,4.12,32.21
query 68,150.67,57.23,0.0,3.16,4.12,25.77
query 71,322.0,51.92,0.94,3.14,4.12,25.74
query 73,137.0,43.17,0.0,3.18,4.12,25.74
query 78,5897.0,91.05,3.17,3.54,4.12,25.97
query 79,177.0,46.94,19.75,3.14,4.12,28.81
query 81,343.0,47.34,1.86,3.25,4.12,25.76
query 83,193.0,48.94,0.0,3.32,4.12,25.71
query 89,188.33,44.9,4.08,3.27,4.12,27.65
query 91,24.33,45.32,1.33,3.27,4.12,25.67
query 93,18.67,43.6,2.33,3.24,4.12,25.67
query 96,11.67,43.38,0.0,3.2,4.12,25.66
query 99,23.33,24.89,0.0,3.17,4.12,25.67
