query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,357.33,65.5,19.0,3.42,4.12,26.17
query 2,4113.67,98.83,7.0,3.39,4.12,26.59
query 3,125.67,44.95,1.67,3.16,4.12,26.6
query 6,75.33,50.51,0.0,3.16,4.12,25.65
query 7,148.67,50.67,3.0,3.16,4.12,26.14
query 9,103.67,57.86,0.0,3.18,4.12,25.65
query 13,40.67,46.52,0.0,3.15,4.12,25.67
query 17,211.67,44.47,4.33,3.13,4.12,25.88
query 24,984.0,43.49,1.0,3.17,4.12,26.59
query 25,173.67,44.13,6.67,3.15,4.12,29.55
query 26,133.0,43.74,15.0,3.2,4.12,26.68
query 29,178.0,48.53,5.67,3.18,4.12,33.88
query 30,314.67,46.6,15.0,3.27,4.12,27.05
query 33,110.0,47.19,0.0,3.32,4.12,25.68
query 34,150.0,61.35,6.0,3.31,4.12,27.18
query 41,78.67,47.09,0.0,3.19,4.12,25.65
query 42,15.67,46.86,0.0,3.17,4.12,25.98
query 43,18.0,46.71,3.0,3.16,4.12,25.68
query 44,161.33,44.03,0.33,3.17,4.12,26.5
query 46,166.0,44.55,6.33,3.12,4.12,26.15
query 48,21.33,47.61,1.33,3.13,4.12,25.69
query 50,64.0,45.9,0.67,3.1,4.12,25.67
query 52,120.33,48.16,5.67,3.1,4.12,25.69
query 53,71.0,65.36,5.67,3.14,4.12,26.68
query 54,2723.0,99.25,10.0,3.34,4.12,26.25
query 55,121.0,44.58,1.67,3.28,4.12,27.18
query 56,257.0,45.23,6.33,3.23,4.12,26.58
query 58,189.33,45.61,0.0,3.21,4.12,25.64
query 59,155.67,45.64,5.33,3.2,4.12,25.94
query 60,248.0,44.26,4.33,3.2,4.12,25.91
query 61,41.33,43.8,8.67,3.25,4.12,26.32
query 62,21.33,44.52,0.33,3.22,4.12,25.67
query 63,73.0,44.63,1.67,3.19,4.12,25.68
query 64,400.33,47.18,7.33,3.22,4.12,27.27
query 65,102.67,46.83,14.33,3.21,4.12,32.21
query 68,150.67,60.01,0.0,3.16,4.12,25.9
query 71,322.0,52.85,3.0,3.15,4.12,26.14
query 73,137.0,43.23,0.0,3.19,4.12,26.01
query 78,5897.0,100.0,27.33,3.67,4.12,32.54
query 79,177.0,47.79,24.67,3.15,4.12,28.9
query 81,343.0,48.15,5.33,3.3,4.12,25.92
query 83,193.0,48.98,0.0,3.32,4.12,25.71
query 89,188.33,44.99,4.67,3.27,4.12,28.58
query 91,24.33,45.32,1.33,3.27,4.12,25.67
query 93,18.67,43.6,2.33,3.24,4.12,25.67
query 96,11.67,43.38,0.0,3.2,4.12,25.66
query 99,23.33,24.89,0.0,3.17,4.12,25.67
