query, start at (ms), end at (ms), time (ms)
query 1, 2025-04-10 13:28:50.680, 2025-04-10 13:28:51.067, 133
query 2, 2025-04-10 13:28:51.069, 2025-04-10 13:28:55.480, 4106
query 3, 2025-04-10 13:28:55.482, 2025-04-10 13:28:55.743, 12
query 4, 2025-04-10 13:28:55.745, 2025-04-10 13:28:56.002, 
query 5, 2025-04-10 13:28:56.004, 2025-04-10 13:28:56.259, 
query 6, 2025-04-10 13:28:56.261, 2025-04-10 13:28:56.630, 71
query 7, 2025-04-10 13:28:56.632, 2025-04-10 13:28:57.033, 148
query 8, 2025-04-10 13:28:57.035, 2025-04-10 13:28:57.296, 
query 9, 2025-04-10 13:28:57.298, 2025-04-10 13:28:57.656, 104
query 10, 2025-04-10 13:28:57.658, 2025-04-10 13:28:59.533, 
query 11, 2025-04-10 13:28:59.534, 2025-04-10 13:28:59.789, 
query 12, 2025-04-10 13:28:59.791, 2025-04-10 13:29:00.043, 
query 13, 2025-04-10 13:29:00.045, 2025-04-10 13:29:00.324, 29
query 14, 2025-04-10 13:29:00.326, 2025-04-10 13:29:00.634, 
query 15, 2025-04-10 13:29:00.636, 2025-04-10 13:29:00.886, 
query 16, 2025-04-10 13:29:00.888, 2025-04-10 13:29:01.140, 
query 17, 2025-04-10 13:29:01.143, 2025-04-10 13:29:01.482, 90
query 18, 2025-04-10 13:29:01.484, 2025-04-10 13:29:01.746, 
query 19, 2025-04-10 13:29:01.748, 2025-04-10 13:29:01.998, 
query 20, 2025-04-10 13:29:02.000, 2025-04-10 13:29:02.252, 
query 21, 2025-04-10 13:29:02.254, 2025-04-10 13:29:02.506, 
query 22, 2025-04-10 13:29:02.508, 2025-04-10 13:29:02.761, 
query 23, 2025-04-10 13:29:02.763, 2025-04-10 13:29:03.023, 
query 24, 2025-04-10 13:29:03.024, 2025-04-10 13:29:04.595, 668
648
query 25, 2025-04-10 13:29:04.597, 2025-04-10 13:29:04.895, 49
query 26, 2025-04-10 13:29:04.897, 2025-04-10 13:29:05.282, 129
query 27, 2025-04-10 13:29:05.285, 2025-04-10 13:29:05.539, 
query 28, 2025-04-10 13:29:05.541, 2025-04-10 13:29:05.844, 
query 29, 2025-04-10 13:29:05.845, 2025-04-10 13:29:06.150, 54
query 30, 2025-04-10 13:29:06.151, 2025-04-10 13:29:06.523, 103
query 31, 2025-04-10 13:29:06.525, 2025-04-10 13:29:06.774, 
query 32, 2025-04-10 13:29:06.776, 2025-04-10 13:29:07.026, 
query 33, 2025-04-10 13:29:07.028, 2025-04-10 13:29:07.380, 100
query 34, 2025-04-10 13:29:07.382, 2025-04-10 13:29:07.673, 39
query 35, 2025-04-10 13:29:07.674, 2025-04-10 13:29:09.481, 
