query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,805,65.75,19.0,3.42,4.12,26.17
query 2,4127,99.25,7.0,3.54,4.12,27.16
query 3,353,48.49,5.0,3.27,4.12,28.32
query 6,83,54.27,0.0,3.38,4.12,25.68
query 7,171,55.78,5.0,3.37,4.12,26.96
query 9,110,61.4,0.0,3.36,4.12,25.68
query 13,60,49.87,0.0,3.22,4.12,25.73
query 17,462,45.09,13.0,3.25,4.12,26.47
query 24,1641,44.33,1.0,3.31,4.12,27.55
query 25,413,44.44,20.0,3.31,4.12,37.17
query 26,141,44.03,15.0,3.48,4.12,27.74
query 29,423,53.13,17.0,3.39,4.12,43.07
query 30,749,47.75,15.0,3.64,4.12,29.79
query 33,123,47.61,0.0,3.79,4.12,25.73
query 34,368,63.54,7.0,3.71,4.12,28.46
query 41,86,51.01,0.0,3.45,4.12,25.73
query 42,17,50.75,0.0,3.42,4.12,26.66
query 43,19,50.75,3.0,3.4,4.12,25.74
query 44,164,44.44,1.0,3.4,4.12,26.91
query 46,385,45.59,7.0,3.3,4.12,27.15
query 48,22,51.26,2.0,3.35,4.12,25.74
query 50,67,47.62,2.0,3.27,4.12,25.73
query 52,337,50.38,6.0,3.27,4.12,25.73
query 53,72,67.0,17.0,3.4,4.12,27.28
query 54,3445,99.25,20.0,3.64,4.12,26.38
query 55,338,45.48,5.0,3.43,4.12,27.24
query 56,264,46.73,17.0,3.58,4.12,27.1
query 58,191,46.75,0.0,3.44,4.12,25.68
query 59,157,47.0,6.0,3.41,4.12,26.12
query 60,252,44.58,6.0,3.39,4.12,26.02
query 61,43,44.47,13.0,3.37,4.12,26.65
query 62,26,45.11,1.0,3.34,4.12,25.78
query 63,78,45.59,3.0,3.31,4.12,25.73
query 64,873,47.85,18.0,3.41,4.12,27.99
query 65,110,47.38,16.0,3.4,4.12,34.2
query 68,375,62.16,0.0,3.32,4.12,26.16
query 71,581,54.77,8.0,3.34,4.12,27.15
query 73,352,43.97,0.0,3.46,4.12,26.67
query 78,6560,100.0,31.0,3.8,4.12,37.12
query 79,398,48.11,25.0,3.25,4.12,34.59
query 81,788,49.75,16.0,3.67,4.12,26.37
query 83,208,58.4,0.0,3.8,4.12,25.73
query 89,407,47.86,7.0,3.6,4.12,29.95
query 91,27,49.62,2.0,3.59,4.12,25.73
query 93,19,43.86,3.0,3.52,4.12,25.73
query 96,12,43.61,0.0,3.43,4.12,25.75
query 99,34,26.37,0.0,3.36,4.12,25.75
