query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,3772.67,66.0,2.93,7.32,9.08,25.57
query 2,84844.0,96.81,0.53,5.32,4.1,25.47
query 3,6787.33,66.56,1.73,1.45,3.3,25.52
query 6,2596.33,54.04,2.44,2.17,4.1,25.9
query 7,8365.67,67.08,2.13,2.74,4.1,25.45
query 9,3400.67,66.63,2.56,3.51,4.1,25.65
query 13,7485.67,69.31,2.31,4.4,4.1,25.46
query 17,6646.67,60.28,18.02,5.41,7.19,32.86
query 24,28871.67,63.99,0.14,6.14,8.11,25.52
query 25,2059.67,52.65,44.84,6.21,8.11,44.78
query 26,3837.67,71.21,5.16,6.55,8.11,28.68
query 29,1807.0,49.46,52.0,7.04,8.11,46.22
query 30,2393.67,52.44,8.14,7.16,8.11,31.31
query 33,2596.67,57.33,3.84,7.2,8.11,25.7
query 34,1486.33,52.74,5.34,7.43,8.11,26.05
query 41,2230.33,47.31,0.23,7.39,8.11,25.51
query 42,261.67,50.93,0.0,7.4,8.11,25.49
query 43,304.0,59.75,4.89,7.39,8.11,26.16
query 46,1949.33,57.32,4.87,7.5,8.11,26.74
query 48,361.0,61.41,0.08,7.48,8.12,25.48
query 50,1071.0,50.65,12.18,7.52,8.12,27.82
query 52,794.67,48.57,3.77,7.62,8.12,25.91
query 53,801.33,49.69,6.74,7.66,8.12,28.16
query 54,64333.67,95.75,0.6,9.61,8.12,25.47
query 55,816.0,50.05,4.33,7.46,8.12,25.61
query 56,1161.67,46.38,2.69,7.58,8.12,25.97
query 58,1799.0,48.68,1.26,7.53,8.12,25.88
query 59,2077.67,48.94,4.63,7.55,8.12,26.53
query 60,597.33,60.68,0.52,7.52,8.12,26.22
query 61,1056.33,55.58,4.55,7.5,8.12,26.72
query 62,1226.0,55.9,2.1,7.52,8.12,25.54
query 63,388.67,54.3,4.0,7.63,8.12,26.29
query 64,4380.67,49.41,19.51,8.0,8.12,32.13
query 65,2134.0,50.33,8.41,8.55,8.12,31.5
query 68,3864.33,62.48,3.87,8.48,8.12,26.09
query 71,8769.33,80.04,0.97,8.97,8.12,25.49
query 73,1348.0,45.97,4.81,8.98,8.12,26.37
query 79,1932.33,56.23,4.24,9.47,12.12,28.14
query 81,3024.0,57.35,3.74,9.57,12.12,25.67
query 83,1914.33,45.95,0.81,9.54,12.12,25.65
query 89,1421.67,46.38,13.0,9.51,12.12,26.65
query 91,452.67,47.17,0.15,9.55,12.12,25.45
query 93,465.67,45.47,0.83,9.5,12.12,28.09
query 96,232.33,50.4,0.0,9.46,12.12,25.47
query 99,3069.33,65.65,1.79,9.58,12.12,25.47
