query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,1800,75.77388888888888,2.3076923076923075,10.30076923076923,12.12,25.615
query 3,7980,67.0226923076923,1.4936708860759491,0.9653846153846154,2.92051282051282,25.60628205128205
query 6,3129,52.652,2.193548387096774,1.7373333333333332,4.099999999999999,25.771935483870973
query 7,9042,66.16337078651685,1.9545454545454544,2.3007865168539325,4.100000000000001,25.431348314606744
query 9,3795,64.90189189189189,2.631578947368421,3.1229729729729727,4.099999999999999,25.8272972972973
query 13,8081,67.5812658227848,2.075,4.005316455696201,4.100000000000002,25.462405063291133
query 17,7326,59.63374999999999,15.916666666666666,5.075138888888889,6.9977777777777765,31.962916666666665
query 24,28710,64.21914590747332,0.1423487544483986,5.833309608540925,8.11,25.50017793594306
query 25,2090,50.3652380952381,44.90476190476191,5.8761904761904775,8.110000000000003,45.352500000000006
query 26,3841,70.96868421052632,5.368421052631579,6.278947368421052,8.110000000000001,28.578684210526323
query 29,1838,50.49166666666666,51.333333333333336,6.695555555555554,8.110000000000001,46.69222222222222
query 30,2505,52.684,8.04,6.797916666666666,8.11,30.90125
query 33,3064,58.38966666666666,3.333333333333333,6.865483870967743,8.110000000000003,25.83533333333333
query 34,1497,49.88,5.266666666666667,7.124666666666666,8.11,25.92214285714286
query 41,2326,47.59608695652173,0.1818181818181818,7.091304347826088,8.110000000000003,25.525652173913045
query 42,261,56.235,0.0,7.08,8.11,25.453333333333333
query 43,342,61.42,5.333333333333333,7.09,8.11,25.4225
query 46,2068,57.78238095238095,3.95,7.166500000000001,8.111500000000001,26.415000000000003
query 48,362,56.74666666666667,0.0,7.15,8.12,25.5525
query 50,1053,46.633,13.4,7.167,8.120000000000001,26.416000000000004
query 52,843,49.6325,4.0,7.183333333333334,8.12,25.63444444444444
query 53,837,45.37888888888889,7.375,7.181111111111111,8.12,28.66125
query 54,64649,95.3967689822294,0.6090468497576736,9.305864297253637,8.12,25.45766990291262
query 55,852,45.2825,4.0,7.19,8.12,25.486666666666665
query 56,1193,45.56818181818182,2.5454545454545454,7.323333333333333,8.120000000000001,26.0475
query 58,1901,48.425789473684205,1.263157894736842,7.209473684210526,8.12,26.177894736842106
query 59,2283,48.30695652173912,4.181818181818182,7.213913043478262,8.120000000000001,26.22863636363636
query 60,649,66.18833333333333,0.5,7.175,8.12,25.445714285714285
query 61,1224,55.67499999999999,4.5,7.198333333333332,8.120000000000001,29.055000000000003
query 62,1291,57.635,2.1538461538461537,7.22,8.120000000000001,25.52615384615385
query 63,409,57.0925,4.5,7.32,8.12,25.49
query 64,4475,49.07522727272728,19.52272727272728,7.71431818181818,8.12,31.574545454545465
query 65,2297,49.67782608695652,8.681818181818182,8.200000000000003,8.120000000000001,30.48130434782609
query 68,4156,62.59536585365854,3.8536585365853657,8.200243902439023,8.12,25.87634146341464
query 71,8918,79.18953488372092,0.942528735632184,8.686627906976748,8.120000000000001,25.48383720930233
query 73,1435,45.45857142857144,4.714285714285714,8.655000000000001,8.120000000000001,27.38571428571429
query 79,1998,56.026,3.95,9.168421052631578,12.12,25.839473684210528
query 81,3173,56.8274193548387,3.870967741935484,9.296129032258063,12.12,25.617741935483863
query 83,1961,44.7078947368421,0.8,9.267368421052634,12.12,25.591052631578947
query 89,1539,45.056875000000005,12.0,9.198000000000002,12.12,25.844
query 91,509,45.27399999999999,0.2,9.248,12.12,25.396000000000004
query 93,484,44.782,2.5,9.206,12.12,28.758
query 96,243,52.075,0.0,9.19,12.12,25.55333333333333
query 99, 3053,65.32000000000001,1.8,9.331999999999999,12.120000000000001,25.485999999999994
