query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,332,69.17,,,,
query 2,20226,100.0,22.0,7.21,4.14,30.44
query 3,14,42.86,11.0,6.64,4.14,26.33
query 6,80,43.47,0.0,5.68,4.14,25.66
query 7,45,48.49,0.0,5.67,4.14,25.84
query 9,110,55.39,0.0,5.66,4.14,25.66
query 13,46,44.08,0.0,5.73,4.14,25.68
query 17,195,43.5,0.0,5.69,4.14,25.74
query 24,4321,44.25,3.0,5.66,4.14,25.84
query 25,187,43.64,1.0,5.62,4.14,25.67
query 26,36,42.42,6.0,5.61,4.14,49.18
query 29,160,47.87,9.0,5.6,4.14,26.34
query 30,172,47.74,58.0,5.61,4.14,30.54
query 33,105,44.08,0.0,5.6,4.14,28.59
query 34,68,52.26,7.0,5.59,4.14,29.07
query 41,67,43.8,0.0,5.6,4.14,25.74
query 42,18,43.94,2.0,5.59,4.14,25.74
query 43,24,44.33,0.0,5.59,4.14,25.73
query 46,151,46.73,2.0,5.63,4.14,25.75
query 48,31,43.58,1.0,5.61,4.14,25.68
query 50,44,43.43,8.0,5.63,4.14,25.74
query 52,14,43.69,0.0,5.63,4.14,25.75
query 53,79,60.71,0.0,5.61,4.14,26.03
query 54,11647,100.0,14.0,6.52,4.14,27.51
query 55,18,51.38,0.0,6.22,4.14,31.27
query 56,101,49.37,0.0,5.68,4.14,25.94
query 58,127,47.99,0.0,5.68,4.14,25.64
query 59,437,48.12,18.0,5.72,4.14,34.9
query 60,113,44.25,2.0,5.69,4.14,25.66
query 61,55,43.18,0.0,5.72,4.14,28.18
query 62,25,43.4,7.0,5.74,4.14,26.58
query 63,79,46.21,0.0,5.72,4.14,25.74
query 64,275,65.91,8.0,5.72,4.14,25.8
query 65,623,67.92,42.0,5.78,4.14,26.53
query 68,71,54.39,0.0,5.68,4.14,25.64
query 71,822,86.82,6.0,5.67,4.14,25.66
query 73,37,42.93,0.0,5.62,4.14,25.75
query 78,27608,100.0,47.0,8.7,4.14,47.27
query 79,87,51.63,22.0,5.62,4.14,26.23
query 81,441,60.65,1.0,5.61,4.14,26.09
query 83,119,45.0,0.0,5.62,4.14,25.67
query 89,93,43.61,14.0,5.64,4.14,25.75
query 91,32,44.33,5.0,5.65,4.14,25.74
query 93,45,43.22,6.0,5.66,4.14,25.75
query 96,14,42.78,0.0,5.65,4.14,25.66
query 99, 22,23.8,0.0,5.63,4.14,25.66
