query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,5613.33,58.34,2.6,5.33,8.12,25.43
query 2,1338.0,68.79,23.77,7.22,9.45,31.17
query 3,1757.0,52.48,30.82,7.32,9.45,30.32
query 4,5919.67,81.18,4.86,8.32,9.45,26.25
query 5,969.0,52.04,10.28,7.78,9.45,25.52
query 6,100.33,45.78,11.22,7.86,9.45,30.77
query 7,150.67,46.86,6.33,7.87,9.45,25.75
query 8,789.33,51.57,13.13,7.93,9.45,25.74
query 9,480.33,46.98,33.58,7.98,9.45,31.25
query 10,1292.0,42.27,20.63,8.03,9.45,34.59
query 12,351.33,59.33,1.13,7.99,9.45,25.59
query 13,833.0,60.98,4.81,8.02,9.45,26.8
query 16,8417.0,45.18,4.68,9.81,10.75,25.59
query 17,2131.0,82.36,12.89,8.08,10.79,29.15
query 18,10448.33,76.76,5.66,9.24,10.79,26.04
query 19,589.33,54.97,6.81,8.1,10.79,25.45
query 20,2721.33,73.46,13.6,8.4,10.79,28.6
