query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,617,49.75,41.0,8.0,12.12,25.64
query 2,2347,44.42,47.0,7.99,12.12,25.64
query 3,883,53.13,45.0,8.19,12.13,27.29
query 4,2535,95.76,25.0,8.33,12.13,30.73
query 5,537,77.56,14.0,8.03,12.13,25.54
query 6,16,78.45,14.0,8.04,12.13,25.54
query 7,904,71.93,14.0,8.24,12.13,27.53
query 8,548,46.62,1.0,8.08,12.13,25.44
query 9,747,46.1,10.0,8.26,12.13,25.79
query 10,823,46.12,7.0,8.26,12.13,26.02
query 12,256,49.37,0.0,8.09,12.13,25.6
query 13,226,52.63,7.0,8.07,12.13,25.54
query 14,236,52.64,1.0,8.05,12.13,25.77
query 16,820,60.05,1.0,8.05,12.13,25.54
query 17,4387,100.0,51.0,8.1,12.13,42.99
query 18,4564,100.0,34.0,8.96,12.13,36.35
query 19,260,64.66,14.0,8.64,12.13,25.74
query 20,2731,81.55,21.0,8.23,12.13,26.27
query 22,1261,43.94,0.0,8.06,12.13,25.72
