query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,212.33,45.16,,,,
query 2,432.67,52.53,12.0,2.95,4.11,26.28
query 3,352.67,51.33,4.67,3.29,4.12,27.11
query 4,1362.67,71.15,4.42,3.52,4.12,25.64
query 5,122.67,46.25,6.67,3.53,4.12,25.63
query 6,87.33,45.34,4.33,3.46,4.12,27.96
query 7,99.33,46.86,2.17,3.46,4.12,25.43
query 8,145.67,47.11,2.0,3.45,4.12,25.51
query 9,153.0,45.44,8.0,3.46,4.12,26.29
query 10,430.0,47.74,11.33,3.47,4.12,30.17
query 12,104.0,52.42,0.0,3.48,4.12,25.47
query 13,321.33,53.94,0.96,3.48,4.12,26.36
query 16,5329.0,44.95,1.52,3.88,4.12,25.46
query 17,624.67,66.09,2.68,3.48,4.12,27.32
query 18,2400.33,77.8,4.78,3.66,4.12,25.53
query 19,132.33,55.12,5.78,3.73,4.12,25.52
query 20,1169.0,57.03,6.12,3.71,4.12,25.77
query 22,322.67,33.1,0.33,3.7,4.12,25.43
