query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,212.33,47.4,,,,
query 2,432.67,54.01,23.67,2.96,4.11,30.95
query 3,352.67,51.8,10.0,3.37,4.12,27.21
query 4,1362.67,81.76,16.0,3.61,4.12,26.5
query 5,122.67,46.31,8.67,3.53,4.12,25.71
query 6,87.33,45.39,4.33,3.46,4.12,28.16
query 7,99.33,46.86,2.33,3.46,4.12,25.48
query 8,145.67,47.32,2.33,3.45,4.12,25.71
query 9,153.0,45.68,9.33,3.46,4.12,26.38
query 10,430.0,49.4,18.33,3.53,4.12,30.67
query 12,104.0,52.48,0.0,3.48,4.12,25.49
query 13,321.33,55.29,1.33,3.48,4.12,26.37
query 16,5329.0,54.47,20.0,3.96,4.12,25.97
query 17,624.67,70.59,12.0,3.49,4.12,31.18
query 18,2400.33,98.17,22.67,3.93,4.12,27.17
query 19,132.33,55.36,6.67,3.73,4.12,25.55
query 20,1169.0,59.63,12.67,3.75,4.12,28.29
query 22,322.67,38.16,0.67,3.71,4.12,25.5
