query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,140,57.64,,,,
query 2,483,64.72,63.0,5.26,4.12,25.79
query 3,125,48.84,20.0,5.25,4.12,25.77
query 4,2427,96.0,19.0,5.81,4.12,34.18
query 5,43,46.72,14.0,5.72,4.12,25.63
query 6,11,46.21,0.0,5.27,4.12,38.14
query 7,40,46.12,12.0,5.27,4.12,25.44
query 8,83,45.36,1.0,5.31,4.12,26.98
query 9,138,44.08,26.0,5.31,4.12,38.67
query 10,432,43.89,61.0,5.31,4.12,34.1
query 12,25,53.5,0.0,5.29,4.12,25.44
query 13,175,50.13,1.0,5.31,4.12,25.68
query 16,6238,49.25,20.0,6.43,8.12,30.39
query 17,959,87.69,29.0,5.34,8.12,39.99
query 18,4750,100.0,34.0,6.3,8.12,31.87
query 19,85,61.56,8.0,5.31,8.12,25.51
query 20,971,82.41,27.0,5.45,8.12,37.13
query 22, 427,51.51,0.0,5.42,8.12,25.61
