query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,900.0,27.65,11.58,3.67,2.9,10.75
query 2,1078.0,44.66,5.04,3.86,3.73,9.65
query 3,308.67,11.02,6.25,3.68,3.72,10.83
query 6,298.0,10.65,0.92,3.76,3.72,10.82
query 7,107.33,12.12,0.78,3.74,3.72,10.81
query 9,218.67,21.85,1.53,3.81,3.72,10.8
query 13,88.67,16.22,2.0,3.78,3.72,10.82
query 17,468.67,13.3,5.12,3.82,3.73,11.18
query 24,1058.33,11.34,1.84,3.81,3.73,10.79
query 25,382.67,10.6,5.33,3.83,3.73,10.94
query 26,84.33,11.48,22.17,3.87,3.73,11.86
query 29,442.67,10.5,8.06,3.88,3.73,11.91
query 33,332.0,14.02,2.15,3.86,3.73,11.73
query 34,390.33,22.98,5.07,3.88,3.73,11.39
query 41,400.0,10.57,0.82,3.87,3.73,10.79
query 42,45.33,11.15,1.0,3.88,3.73,10.78
query 43,49.0,11.11,1.0,3.87,3.73,10.8
query 46,412.67,11.26,3.56,3.91,3.73,10.84
query 48,58.33,13.26,7.67,3.93,3.73,10.97
query 50,82.0,11.49,1.83,3.89,3.73,10.97
query 52,292.0,23.82,2.58,3.88,3.73,10.98
query 53,163.67,27.68,14.17,3.95,3.73,11.06
query 54,1109.0,30.49,2.98,3.97,3.73,10.97
query 55,315.0,10.69,4.4,3.99,3.73,10.97
query 56,289.67,11.01,13.76,4.0,3.73,10.97
query 58,394.0,11.42,2.93,4.0,3.73,10.97
query 59,392.67,11.15,2.07,3.99,3.73,10.98
query 60,180.0,10.97,2.33,3.93,3.73,11.0
query 61,192.0,10.72,2.73,3.93,3.73,11.01
query 62,62.0,10.9,3.0,3.94,3.73,11.02
query 63,92.0,10.83,2.33,3.95,3.73,11.05
query 64,813.0,10.55,8.05,4.01,3.73,11.27
query 65,209.33,10.92,18.61,4.03,3.73,11.89
query 68,406.67,23.27,2.9,4.0,3.73,11.31
query 71,582.0,12.25,1.58,3.99,3.73,10.92
query 73,376.0,10.26,2.67,4.05,3.73,10.95
query 78,2023.67,41.52,13.88,4.21,3.73,11.44
query 79,381.0,10.2,16.56,3.97,3.73,11.42
query 81,745.33,10.53,4.93,4.05,3.73,11.04
query 83,333.0,10.46,1.33,4.01,3.73,10.95
query 89,413.0,10.55,4.9,4.01,3.73,10.97
query 91,55.0,11.24,1.33,3.98,3.73,11.1
query 93,50.33,10.85,2.67,4.0,3.73,11.13
query 96,40.33,9.75,1.0,4.0,3.73,10.97
query 99,60.0,5.84,1.0,3.97,3.73,10.89
