query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,900.0,37.91,16.0,3.9,3.75,10.87
query 2,1078.0,60.62,11.0,4.0,3.74,10.73
query 3,308.67,11.15,7.0,3.74,3.72,10.85
query 6,298.0,11.0,1.33,3.76,3.72,10.85
query 7,107.33,12.23,1.0,3.75,3.72,10.81
query 9,218.67,22.44,3.0,3.82,3.72,10.82
query 13,88.67,16.3,3.33,3.78,3.72,10.82
query 17,468.67,13.58,11.0,3.89,3.73,11.65
query 24,1058.33,12.22,5.33,3.83,3.73,10.85
query 25,382.67,10.92,13.0,3.93,3.73,11.04
query 26,84.33,11.5,24.33,3.87,3.73,11.86
query 29,442.67,10.78,14.67,3.97,3.73,12.11
query 33,332.0,14.44,3.33,3.87,3.73,11.86
query 34,390.33,25.62,11.0,3.93,3.73,11.57
query 41,400.0,10.94,1.0,3.88,3.73,10.79
query 42,45.33,11.15,1.0,3.88,3.73,10.78
query 43,49.0,11.11,1.0,3.87,3.73,10.8
query 46,412.67,12.06,7.67,3.96,3.73,10.86
query 48,58.33,13.27,7.67,3.93,3.73,10.97
query 50,82.0,11.65,2.0,3.89,3.73,10.97
query 52,292.0,25.88,4.33,3.92,3.73,11.01
query 53,163.67,27.76,18.0,3.95,3.73,11.07
query 54,1109.0,43.23,10.67,4.2,3.73,11.06
query 55,315.0,10.93,9.33,4.03,3.73,10.98
query 56,289.67,11.15,16.33,4.0,3.73,10.98
query 58,394.0,11.7,3.33,4.01,3.73,10.98
query 59,392.67,11.25,2.67,3.99,3.73,10.99
query 60,180.0,11.07,2.67,3.94,3.73,11.01
query 61,192.0,10.96,3.67,3.94,3.73,11.02
query 62,62.0,10.93,3.0,3.94,3.73,11.02
query 63,92.0,10.83,2.33,3.95,3.73,11.05
query 64,813.0,10.78,24.0,4.17,3.73,11.71
query 65,209.33,11.09,19.67,4.03,3.73,11.94
query 68,406.67,26.01,5.33,4.07,3.73,11.36
query 71,582.0,12.78,5.33,4.07,3.73,10.95
query 73,376.0,10.41,7.67,4.09,3.73,10.99
query 78,2023.67,69.86,28.0,4.46,3.73,12.07
query 79,381.0,10.42,20.33,4.03,3.73,11.57
query 81,745.33,10.87,14.0,4.18,3.73,11.12
query 83,333.0,10.59,1.67,4.02,3.73,10.97
query 89,413.0,10.68,10.67,4.08,3.73,11.01
query 91,55.0,11.24,1.33,3.98,3.73,11.1
query 93,50.33,10.85,2.67,4.0,3.73,11.13
query 96,40.33,9.75,1.0,4.0,3.73,10.97
query 99,60.0,5.84,1.0,3.97,3.73,10.89
