query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,1687,17.31529411764706,6.166666666666667,3.6675,2.8966666666666665,10.749166666666667
query 2,1835,40.81111111111111,4.555555555555555,3.736666666666667,3.7338888888888895,10.886666666666668
query 3,473,11.7075,8.75,3.21,3.7,11.034
query 6,808,11.08,0.75,3.26,3.7,10.83875
query 7,256,15.333333333333334,0.3333333333333333,3.25,3.7000000000000006,10.786666666666669
query 9,526,13.895999999999995,1.6,3.402,3.7,10.8
query 13,226,23.29,3.0,3.4450000000000003,3.7,10.925
query 17,796,18.025,13.375,3.5675,3.7275,11.5275
query 24,1510,13.352666666666664,4.2,3.577142857142857,3.716666666666666,10.906
query 25,583,11.345,7.666666666666667,3.6366666666666654,3.73,11.198333333333332
query 26,184,13.125,9.5,3.655,3.73,12.07
query 29,737,10.822857142857144,13.857142857142858,3.704285714285714,3.73,11.46625
query 33,884,12.418888888888889,4.444444444444445,3.65,3.7222222222222223,11.05625
query 34,693,16.837142857142855,9.714285714285714,3.721428571428571,3.72,11.01857142857143
query 41,1117,10.57,0.4545454545454545,3.726363636363637,3.7245454545454537,10.787272727272727
query 42,119,12.05,1.0,3.73,3.73,10.81
query 43,124,12.37,0.0,3.71,3.73,10.84
query 46,735,11.99125,6.0,3.852857142857143,3.73,10.855714285714289
query 48,146,16.4,1.0,3.85,3.73,10.99
query 50,162,12.420000000000002,1.5,3.83,3.73,10.88
query 52,421,11.12,3.25,3.8,3.73,10.94
query 53,390,10.823333333333332,4.5,3.753333333333333,3.73,10.985
query 54,1900,26.64578947368421,3.526315789473684,3.8631578947368426,3.73,10.875263157894738
query 55,489,10.704,3.2,3.818,3.73,10.958
query 56,673,11.037142857142856,2.2857142857142856,3.861428571428572,3.73,10.961666666666666
query 58,986,10.47222222222222,0.8,3.824444444444444,3.73,10.902
query 59,975,10.553333333333333,1.2222222222222223,3.8177777777777777,3.73,10.908
query 60,336,11.2825,1.0,3.79,3.73,10.943333333333332
query 61,527,11.038,2.2,3.788,3.73,10.963333333333331
query 62,161,12.225,0.0,3.79,3.73,10.98
query 63,182,12.16,1.0,3.805,3.73,10.92
query 64,1304,10.207692307692309,7.230769230769231,3.875384615384616,3.729999999999999,11.16153846153846
query 65,537,11.336666666666666,1.8333333333333333,3.934,3.73,11.71
query 68,733,17.95125,6.714285714285714,3.9375,3.73,10.87857142857143
query 71,1177,11.964999999999998,1.4166666666666667,3.9416666666666655,3.729999999999999,10.821818181818182
query 73,662,10.525,4.666666666666667,3.995714285714286,3.73,10.97
query 78,2625,32.9488,10.461538461538462,4.2364,3.73,11.355769230769228
query 79,651,10.583333333333334,13.666666666666666,4.078333333333333,3.73,11.191666666666668
query 81,1206,10.736666666666666,5.0,4.105833333333333,3.729999999999999,10.9775
query 83,814,11.01125,1.0,4.029999999999999,3.73,10.861250000000002
query 89,696,10.558571428571428,7.714285714285714,4.0200000000000005,3.73,10.985714285714286
query 91,135,11.42,1.0,3.96,3.73,11.0
query 93,122,11.14,2.0,3.99,3.73,10.93
query 96,106,10.69,1.0,3.95,3.73,10.97
query 99, 153,6.21,1.0,3.91,3.73,10.88
