query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,497,47.47,,,,
query 2,702,57.86,9.0,4.04,3.73,10.44
query 3,225,10.11,5.0,3.95,3.73,10.77
query 6,41,10.41,1.0,4.03,3.73,10.83
query 7,33,10.31,1.0,3.98,3.73,10.85
query 9,63,25.96,1.0,4.02,3.73,10.86
query 13,19,11.12,1.0,3.96,3.73,10.83
query 17,302,10.23,1.0,3.94,3.73,11.45
query 24,823,10.66,1.0,3.97,3.73,10.8
query 25,282,10.25,2.0,4.02,3.73,10.85
query 26,34,10.44,34.0,4.04,3.73,11.9
query 29,293,10.23,16.0,4.04,3.73,12.2
query 33,55,15.14,1.0,4.0,3.73,12.08
query 34,239,26.04,4.0,3.98,3.73,12.01
query 41,42,10.35,1.0,3.99,3.73,10.81
query 42,8,10.39,1.0,3.97,3.73,10.79
query 43,11,9.97,1.0,3.98,3.73,10.8
query 46,248,11.36,1.0,3.96,3.73,10.87
query 48,15,11.79,21.0,4.0,3.73,11.0
query 50,39,10.59,3.0,3.94,3.73,11.06
query 52,228,34.02,1.0,3.96,3.73,11.08
query 53,49,35.9,17.0,3.99,3.73,11.15
query 54,717,43.88,13.0,4.24,3.73,11.16
query 55,230,10.92,11.0,4.1,3.73,11.02
query 56,97,10.69,18.0,4.05,3.73,11.01
query 58,97,11.3,1.0,4.11,3.73,11.04
query 59,99,10.65,1.0,4.08,3.73,11.06
query 60,99,10.36,5.0,4.03,3.73,11.07
query 61,25,10.25,1.0,4.02,3.73,11.06
query 62,12,10.02,7.0,4.06,3.73,11.08
query 63,46,9.97,3.0,4.06,3.73,11.17
query 64,563,10.77,24.0,4.33,3.73,11.85
query 65,45,10.66,30.0,4.18,3.73,12.01
query 68,244,26.13,1.0,4.12,3.73,11.61
query 71,282,12.66,5.0,4.09,3.73,11.0
query 73,235,10.04,5.0,4.11,3.73,10.96
query 78,1731,71.36,33.0,4.44,3.73,12.26
query 79,245,9.87,24.0,3.89,3.73,11.78
query 81,511,10.71,21.0,4.13,3.73,11.16
query 83,91,10.34,2.0,4.0,3.73,11.02
query 89,272,10.11,3.0,4.03,3.73,10.99
query 91,14,10.39,2.0,3.98,3.73,11.14
query 93,14,10.09,3.0,4.0,3.73,11.24
query 96,7,8.82,1.0,4.0,3.73,10.99
query 99, 13,5.46,1.0,4.03,3.73,10.89
