query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,30.67,11.18,2.33,4.76,3.75,
query 2,52.0,13.8,6.67,4.77,3.75,6.07
query 3,234.33,14.6,5.33,4.81,3.75,8.32
query 4,153.67,14.44,11.33,4.88,3.75,10.32
query 5,13.33,11.34,5.67,4.91,3.75,11.41
query 6,5.33,10.13,13.67,4.81,3.75,11.41
query 7,13.33,10.17,3.0,4.83,3.75,11.37
query 8,24.0,10.32,1.0,4.83,3.75,11.29
query 9,26.67,11.03,3.0,4.81,3.75,11.3
query 10,268.0,11.14,8.89,4.88,3.75,11.83
query 12,10.0,10.77,1.0,4.92,3.75,11.69
query 13,19.67,10.74,1.33,4.92,3.75,11.35
query 16,2849.0,11.68,2.86,5.14,3.75,11.03
query 17,63.0,23.19,0.0,4.93,3.75,10.97
query 18,513.67,18.91,8.84,4.97,3.75,11.27
query 19,19.0,12.48,22.0,5.16,3.75,11.47
query 20,320.0,11.38,7.78,5.01,3.75,11.6
query 22,50.67,6.14,1.0,5.0,3.75,11.69
