query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,33,11.06,2,4.77,3.75,
query 2,51,13.73,9,4.77,3.75,4.47
query 3,234,14.94,5,4.82,3.75,7.15
query 4,154,14.69,14,4.9,3.75,9.93
query 5,13,11.52,1,4.93,3.75,11.22
query 6,6,9.96,18,4.81,3.75,11.42
query 7,13,10.13,3,4.83,3.75,11.38
query 8,24,10.2,1,4.83,3.75,11.31
query 9,27,10.78,3,4.8,3.75,11.31
query 10,267,11.17,10,4.89,3.75,11.87
query 12,10,10.31,0,4.92,3.75,11.6
query 13,19,10.56,1,4.92,3.75,11.15
query 16,1834,21.54,16,5.2,3.75,11.22
query 17,63,23.3,0,4.97,3.75,10.87
query 18,509,22.07,9,5.16,3.75,11.41
query 19,19,12.55,16,5.19,3.75,11.47
query 20,323,12.3,6,5.03,3.75,11.74
query 22, 50,5.91,0,5.03,3.75,11.67
