query_id,time (ms),avg_cpu_usage,avg_gpu_usage,avg_ram_usage,avg_vram_usage,avg_power_usage
query 1,26,11.71,5.0,4.81,,
query 2,54,14.11,5.0,4.8,3.75,9.16
query 3,237,14.645,9.0,4.81,3.75,11.23
query 4,154,14.47,18.0,4.87,3.75,11.695
query 5,13,11.95,3.0,4.9,3.75,11.74
query 6,5,10.54,18.0,4.84,3.75,11.47
query 7,14,10.49,3.0,4.86,3.75,11.41
query 8,25,10.62,1.0,4.82,3.75,11.33
query 9,27,11.47,3.0,4.82,3.75,11.32
query 10,269,11.693333333333332,10.333333333333334,4.9366666666666665,3.75,11.856666666666667
query 12,10,11.46,2.0,4.91,3.75,11.65
query 13,20,11.05,2.0,4.91,3.75,11.27
query 16,1879,12.782777777777778,5.222222222222222,5.131111111111111,3.75,11.12842105263158
query 17,63,23.23,0.0,4.88,3.75,11.08
query 18,514,18.966,10.333333333333334,4.906000000000001,3.75,11.228
query 19,19,11.9,25.0,4.94,3.75,11.44
query 20,319,10.816666666666665,9.0,4.985,3.75,11.6
query 22, 48,6.29,1.0,5.0,3.75,11.68
