13:17:10, 10.20%, 3%, 2.72 Gb, 0.32 Gb, 4.21 W
13:17:10, 10.72%, 3%, 2.71 Gb, 0.32 Gb, 4.21 W
13:17:10, 11.08%, 3%, 2.70 Gb, 0.32 Gb, 4.14 W
13:17:10, 11.25%, 7%, 2.70 Gb, 0.32 Gb, 4.14 W
13:17:10, 11.56%, 7%, 2.71 Gb, 0.32 Gb, 4.16 W
13:17:10, 11.78%, 7%, 2.68 Gb, 0.33 Gb, 4.16 W
13:17:10, 12.17%, 15%, 2.70 Gb, 0.33 Gb, 4.28 W
13:17:11, 12.88%, 15%, 2.70 Gb, 0.33 Gb, 4.28 W
13:17:11, 13.46%, 15%, 2.70 Gb, 0.33 Gb, 4.24 W
13:17:11, 13.70%, 15%, 2.71 Gb, 0.33 Gb, 4.24 W
13:17:11, 13.99%, 0%, 2.68 Gb, 0.33 Gb, 4.18 W
13:17:11, 14.25%, 0%, 2.69 Gb, 0.33 Gb, 4.18 W
13:17:11, 14.48%, 0%, 2.70 Gb, 0.33 Gb, 4.13 W
13:17:11, 14.63%, 0%, 2.67 Gb, 0.32 Gb, 4.13 W
13:17:11, 14.85%, 3%, 2.66 Gb, 0.32 Gb, 4.13 W
13:17:11, 14.88%, 3%, 2.71 Gb, 0.32 Gb, 4.13 W
13:17:11, 14.93%, 3%, 2.75 Gb, 0.32 Gb, 4.13 W
13:17:11, 14.97%, 3%, 2.76 Gb, 0.32 Gb, 4.17 W
13:17:11, 15.30%, 0%, 2.76 Gb, 3.75 Gb, 4.17 W
13:17:11, 15.54%, 0%, 2.76 Gb, 3.75 Gb, 4.74 W
13:17:11, 15.59%, 0%, 2.83 Gb, 3.75 Gb, 4.74 W
13:17:11, 15.39%, 0%, 2.83 Gb, 3.75 Gb, 4.74 W
13:17:11, 15.65%, 0%, 2.88 Gb, 3.75 Gb, 5.33 W
13:17:11, 15.87%, 0%, 2.87 Gb, 3.75 Gb, 5.33 W
13:17:11, 16.18%, 11%, 2.90 Gb, 3.75 Gb, 5.33 W
13:17:11, 16.37%, 11%, 2.91 Gb, 3.75 Gb, 5.33 W
13:17:11, 16.61%, 11%, 2.93 Gb, 3.75 Gb, 5.91 W
13:17:11, 16.70%, 11%, 2.94 Gb, 3.75 Gb, 5.91 W
Query 1 - Time: 1010 ms
13:17:11, 16.72%, 11%, 2.96 Gb, 3.75 Gb, 5.91 W
13:17:11, 16.79%, 11%, 2.95 Gb, 3.75 Gb, 5.91 W
13:17:11, 16.90%, 11%, 2.97 Gb, 3.75 Gb, 6.84 W
13:17:11, 16.86%, 11%, 2.98 Gb, 3.75 Gb, 6.84 W
13:17:11, 16.77%, 18%, 3.00 Gb, 3.75 Gb, 6.84 W
13:17:12, 16.61%, 18%, 3.00 Gb, 3.75 Gb, 6.84 W
13:17:12, 16.76%, 18%, 3.00 Gb, 3.75 Gb, 7.33 W
13:17:12, 16.75%, 18%, 2.99 Gb, 3.75 Gb, 7.33 W
13:17:12, 17.06%, 18%, 3.03 Gb, 3.75 Gb, 7.33 W
13:17:12, 17.07%, 18%, 3.03 Gb, 3.75 Gb, 7.33 W
13:17:12, 17.53%, 18%, 3.04 Gb, 3.75 Gb, 7.94 W
13:17:12, 17.90%, 18%, 3.06 Gb, 3.75 Gb, 7.94 W
13:17:12, 18.31%, 0%, 3.08 Gb, 3.75 Gb, 7.94 W
13:17:12, 18.48%, 0%, 3.08 Gb, 3.75 Gb, 7.94 W
13:17:12, 18.92%, 0%, 3.08 Gb, 3.75 Gb, 8.56 W
13:17:12, 19.01%, 0%, 3.08 Gb, 3.75 Gb, 8.56 W
13:17:12, 19.05%, 0%, 3.09 Gb, 3.75 Gb, 8.56 W
13:17:12, 19.37%, 0%, 3.09 Gb, 3.75 Gb, 8.56 W
13:17:12, 19.52%, 0%, 3.11 Gb, 3.75 Gb, 9.19 W
13:17:12, 19.76%, 0%, 3.11 Gb, 3.75 Gb, 9.19 W
13:17:12, 19.97%, 0%, 3.08 Gb, 3.75 Gb, 9.19 W
13:17:12, 20.16%, 0%, 3.08 Gb, 3.75 Gb, 9.19 W
13:17:12, 20.47%, 0%, 3.05 Gb, 3.75 Gb, 9.78 W
13:17:12, 20.65%, 0%, 3.05 Gb, 3.75 Gb, 9.78 W
13:17:12, 20.74%, 0%, 3.05 Gb, 3.75 Gb, 9.78 W
13:17:12, 20.95%, 0%, 3.05 Gb, 3.75 Gb, 9.78 W
13:17:12, 21.18%, 0%, 3.05 Gb, 3.75 Gb, 10.40 W
13:17:12, 21.15%, 0%, 3.05 Gb, 3.75 Gb, 10.40 W
13:17:12, 21.25%, 0%, 3.07 Gb, 3.75 Gb, 10.40 W
13:17:12, 21.24%, 0%, 3.08 Gb, 3.75 Gb, 10.40 W
13:17:12, 21.52%, 0%, 3.10 Gb, 3.75 Gb, 11.02 W
13:17:12, 21.65%, 0%, 3.13 Gb, 3.75 Gb, 11.02 W
13:17:12, 21.72%, 0%, 3.14 Gb, 3.75 Gb, 11.02 W
13:17:12, 21.50%, 0%, 3.14 Gb, 3.75 Gb, 11.02 W
13:17:12, 21.78%, 0%, 3.15 Gb, 3.75 Gb, 11.00 W
13:17:12, 21.53%, 0%, 3.15 Gb, 3.75 Gb, 11.00 W
13:17:12, 21.57%, 0%, 3.16 Gb, 3.75 Gb, 11.00 W
13:17:12, 21.53%, 0%, 3.16 Gb, 3.75 Gb, 10.98 W
13:17:12, 21.65%, 0%, 3.15 Gb, 3.75 Gb, 10.98 W
13:17:12, 21.61%, 0%, 3.16 Gb, 3.75 Gb, 10.98 W
13:17:12, 21.73%, 0%, 3.15 Gb, 3.75 Gb, 10.98 W
13:17:12, 21.57%, 0%, 3.16 Gb, 3.75 Gb, 10.98 W
13:17:12, 21.81%, 0%, 3.20 Gb, 3.75 Gb, 10.98 W
13:17:12, 21.87%, 2%, 3.21 Gb, 3.75 Gb, 10.98 W
13:17:13, 21.87%, 2%, 3.24 Gb, 3.75 Gb, 10.98 W
13:17:13, 21.90%, 2%, 3.24 Gb, 3.75 Gb, 10.67 W
13:17:13, 21.77%, 2%, 3.22 Gb, 3.75 Gb, 10.67 W
13:17:13, 21.71%, 2%, 3.23 Gb, 3.75 Gb, 10.67 W
13:17:13, 21.91%, 2%, 3.23 Gb, 3.75 Gb, 10.67 W
13:17:13, 21.54%, 2%, 3.25 Gb, 3.75 Gb, 10.66 W
13:17:13, 21.07%, 1%, 3.24 Gb, 3.75 Gb, 10.66 W
13:17:13, 20.72%, 1%, 3.24 Gb, 3.75 Gb, 10.66 W
13:17:13, 20.53%, 1%, 3.23 Gb, 3.75 Gb, 10.66 W
13:17:13, 20.67%, 1%, 3.22 Gb, 3.75 Gb, 10.69 W
13:17:13, 20.27%, 1%, 3.24 Gb, 3.75 Gb, 10.69 W
13:17:13, 20.39%, 1%, 3.25 Gb, 3.75 Gb, 10.69 W
13:17:13, 20.40%, 1%, 3.27 Gb, 3.75 Gb, 10.69 W
13:17:13, 20.54%, 1%, 3.28 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.34%, 2%, 3.29 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.57%, 2%, 3.25 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.52%, 2%, 3.24 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.64%, 2%, 3.24 Gb, 3.75 Gb, 10.73 W
Query 2 - Time: 1367 ms
13:17:13, 20.52%, 2%, 3.26 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.50%, 2%, 3.26 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.25%, 2%, 3.25 Gb, 3.75 Gb, 10.73 W
13:17:13, 20.15%, 2%, 3.24 Gb, 3.75 Gb, 10.77 W
13:17:13, 20.29%, 2%, 3.24 Gb, 3.75 Gb, 10.77 W
13:17:13, 20.10%, 2%, 3.23 Gb, 3.75 Gb, 10.77 W
13:17:13, 20.09%, 2%, 3.21 Gb, 3.75 Gb, 10.78 W
13:17:13, 20.37%, 2%, 3.22 Gb, 3.75 Gb, 10.78 W
13:17:13, 20.40%, 2%, 3.22 Gb, 3.75 Gb, 10.78 W
13:17:13, 20.49%, 2%, 3.23 Gb, 3.75 Gb, 10.78 W
13:17:13, 20.75%, 2%, 3.20 Gb, 3.75 Gb, 10.78 W
13:17:13, 20.94%, 2%, 3.20 Gb, 3.75 Gb, 10.78 W
13:17:13, 21.25%, 0%, 3.18 Gb, 3.75 Gb, 10.78 W
13:17:13, 21.06%, 0%, 3.18 Gb, 3.75 Gb, 10.78 W
13:17:13, 21.29%, 0%, 3.18 Gb, 3.75 Gb, 10.80 W
13:17:13, 21.18%, 0%, 3.19 Gb, 3.75 Gb, 10.80 W
13:17:13, 21.15%, 0%, 3.21 Gb, 3.75 Gb, 10.80 W
13:17:13, 21.10%, 0%, 3.25 Gb, 3.75 Gb, 10.80 W
13:17:13, 21.08%, 0%, 3.26 Gb, 3.75 Gb, 10.80 W
13:17:13, 20.85%, 0%, 3.27 Gb, 3.75 Gb, 10.80 W
13:17:13, 21.08%, 1%, 3.27 Gb, 3.75 Gb, 10.80 W
13:17:13, 21.06%, 1%, 3.27 Gb, 3.75 Gb, 10.80 W
13:17:14, 21.12%, 1%, 3.28 Gb, 3.75 Gb, 10.78 W
13:17:14, 21.24%, 1%, 3.28 Gb, 3.75 Gb, 10.78 W
13:17:14, 21.19%, 1%, 3.28 Gb, 3.75 Gb, 10.78 W
13:17:14, 21.21%, 1%, 3.28 Gb, 3.75 Gb, 10.78 W
13:17:14, 21.19%, 1%, 3.32 Gb, 3.75 Gb, 10.88 W
13:17:14, 21.20%, 1%, 3.35 Gb, 3.75 Gb, 10.88 W
13:17:14, 21.21%, 15%, 3.41 Gb, 3.75 Gb, 10.88 W
13:17:14, 21.05%, 15%, 3.43 Gb, 3.75 Gb, 10.88 W
13:17:14, 20.73%, 15%, 3.50 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.66%, 15%, 3.54 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.82%, 15%, 3.53 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.61%, 15%, 3.55 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.71%, 15%, 3.40 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.75%, 15%, 3.38 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.39%, 13%, 3.38 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.28%, 13%, 3.38 Gb, 3.75 Gb, 10.92 W
13:17:14, 20.35%, 13%, 3.38 Gb, 3.75 Gb, 10.93 W
13:17:14, 20.29%, 13%, 3.38 Gb, 3.75 Gb, 10.93 W
Query 3 - Time: 779 ms
13:17:14, 20.40%, 13%, 3.39 Gb, 3.75 Gb, 10.93 W
13:17:14, 20.32%, 13%, 3.40 Gb, 3.75 Gb, 10.93 W
13:17:14, 20.40%, 13%, 3.38 Gb, 3.75 Gb, 10.94 W
13:17:14, 20.58%, 2%, 3.38 Gb, 3.75 Gb, 10.94 W
13:17:14, 20.59%, 2%, 3.38 Gb, 3.75 Gb, 10.94 W
13:17:14, 20.55%, 2%, 3.36 Gb, 3.75 Gb, 10.94 W
13:17:14, 20.69%, 2%, 3.35 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.37%, 2%, 3.34 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.59%, 2%, 3.37 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.59%, 2%, 3.37 Gb, 3.75 Gb, 10.89 W
13:17:14, 20.50%, 2%, 3.40 Gb, 3.75 Gb, 10.89 W
