CPU_time(ms), CPU_USAGE(%), GPU_time(ms), GPU_USAGE(%), RAM_time(ms), RAM_USED(Gb), VRAM_time(ms), VRAM_USED(Gb), POWER_time(ms), POWER_USE(W)
2025-04-06 13:22:42.053, 1.19, 2025-04-06 13:22:43.057, 0, 2025-04-06 13:22:43.078, 4.71, 2025-04-06 13:22:43.081, 3.75, 2025-04-06 13:22:43.098, 4.03
2025-04-06 13:22:42.155, 1.88, 2025-04-06 13:22:43.160, 6, 2025-04-06 13:22:43.179, 4.74, 2025-04-06 13:22:43.182, 3.75, 2025-04-06 13:22:43.200, 4.04
2025-04-06 13:22:42.258, 2.88, 2025-04-06 13:22:43.263, 6, 2025-04-06 13:22:43.282, 4.74, 2025-04-06 13:22:43.285, 3.75, 2025-04-06 13:22:43.302, 4.57
2025-04-06 13:22:42.360, 3.77, 2025-04-06 13:22:43.366, 17, 2025-04-06 13:22:43.384, 4.76, 2025-04-06 13:22:43.388, 3.75, 2025-04-06 13:22:43.405, 5.20
2025-04-06 13:22:42.463, 4.77, 2025-04-06 13:22:43.468, 17, 2025-04-06 13:22:43.487, 4.76, 2025-04-06 13:22:43.490, 3.75, 2025-04-06 13:22:43.511, 5.83
2025-04-06 13:22:42.566, 6.35, 2025-04-06 13:22:43.570, 2, 2025-04-06 13:22:43.588, 4.78, 2025-04-06 13:22:43.592, 3.75, 2025-04-06 13:22:43.609, 6.59
2025-04-06 13:22:42.668, 7.47, 2025-04-06 13:22:43.673, 2, 2025-04-06 13:22:43.691, 4.80, 2025-04-06 13:22:43.695, 3.75, 2025-04-06 13:22:43.712, 7.24
2025-04-06 13:22:42.770, 8.28, 2025-04-06 13:22:43.775, 3, 2025-04-06 13:22:43.794, 4.93, 2025-04-06 13:22:43.797, 3.75, 2025-04-06 13:22:43.816, 7.99
2025-04-06 13:22:42.873, 9.19, 2025-04-06 13:22:43.878, 22, 2025-04-06 13:22:43.898, 5.03, 2025-04-06 13:22:43.901, 3.75, 2025-04-06 13:22:43.919, 8.66
2025-04-06 13:22:42.975, 10.03, 2025-04-06 13:22:43.980, 22, 2025-04-06 13:22:43.999, 4.86, 2025-04-06 13:22:44.002, 3.75, 2025-04-06 13:22:44.020, 9.36
2025-04-06 13:22:43.076, 10.78, 2025-04-06 13:22:44.080, 2, 2025-04-06 13:22:44.098, 4.87, 2025-04-06 13:22:44.101, 3.75, 2025-04-06 13:22:44.119, 9.98
2025-04-06 13:22:43.178, 10.79, 2025-04-06 13:22:44.182, 2, 2025-04-06 13:22:44.201, 4.89, 2025-04-06 13:22:44.204, 3.75, 2025-04-06 13:22:44.222, 10.65
2025-04-06 13:22:43.279, 13.56, 2025-04-06 13:22:44.283, 13, 2025-04-06 13:22:44.305, 4.90, 2025-04-06 13:22:44.309, 3.75, 2025-04-06 13:22:44.327, 11.27
2025-04-06 13:22:43.380, 15.22, 2025-04-06 13:22:44.384, 13, 2025-04-06 13:22:44.403, 4.78, 2025-04-06 13:22:44.406, 3.75, 2025-04-06 13:22:44.424, 11.34
2025-04-06 13:22:43.481, 15.08, 2025-04-06 13:22:44.485, 5, 2025-04-06 13:22:44.503, 4.79, 2025-04-06 13:22:44.507, 3.75, 2025-04-06 13:22:44.524, 11.34
2025-04-06 13:22:43.583, 14.24, 2025-04-06 13:22:44.587, 5, 2025-04-06 13:22:44.606, 4.80, 2025-04-06 13:22:44.609, 3.75, 2025-04-06 13:22:44.626, 11.43
2025-04-06 13:22:43.684, 14.35, 2025-04-06 13:22:44.688, 3, 2025-04-06 13:22:44.707, 4.81, 2025-04-06 13:22:44.710, 3.75, 2025-04-06 13:22:44.728, 11.32
2025-04-06 13:22:43.785, 14.29, 2025-04-06 13:22:44.789, 3, 2025-04-06 13:22:44.807, 4.81, 2025-04-06 13:22:44.810, 3.75, 2025-04-06 13:22:44.828, 11.34
2025-04-06 13:22:43.886, 14.43, 2025-04-06 13:22:44.890, 1, 2025-04-06 13:22:44.908, 4.83, 2025-04-06 13:22:44.911, 3.75, 2025-04-06 13:22:44.929, 11.24
2025-04-06 13:22:43.987, 14.38, 2025-04-06 13:22:44.991, 1, 2025-04-06 13:22:45.009, 4.82, 2025-04-06 13:22:45.013, 3.75, 2025-04-06 13:22:45.030, 11.34
2025-04-06 13:22:44.088, 13.97, 2025-04-06 13:22:45.092, 3, 2025-04-06 13:22:45.110, 4.80, 2025-04-06 13:22:45.114, 3.75, 2025-04-06 13:22:45.131, 11.28
2025-04-06 13:22:44.190, 14.23, 2025-04-06 13:22:45.194, 3, 2025-04-06 13:22:45.212, 4.78, 2025-04-06 13:22:45.216, 3.75, 2025-04-06 13:22:45.233, 11.49
2025-04-06 13:22:44.291, 10.55, 2025-04-06 13:22:45.295, 5, 2025-04-06 13:22:45.314, 4.80, 2025-04-06 13:22:45.317, 3.75, 2025-04-06 13:22:45.335, 11.43
2025-04-06 13:22:44.393, 10.01, 2025-04-06 13:22:45.396, 5, 2025-04-06 13:22:45.415, 4.81, 2025-04-06 13:22:45.418, 3.75, 2025-04-06 13:22:45.435, 11.81
2025-04-06 13:22:44.494, 9.88, 2025-04-06 13:22:45.498, 10, 2025-04-06 13:22:45.517, 4.83, 2025-04-06 13:22:45.520, 3.75, 2025-04-06 13:22:45.538, 11.80
2025-04-06 13:22:44.595, 9.99, 2025-04-06 13:22:45.599, 10, 2025-04-06 13:22:45.618, 4.96, 2025-04-06 13:22:45.621, 3.75, 2025-04-06 13:22:45.638, 11.92
2025-04-06 13:22:44.696, 9.89, 2025-04-06 13:22:45.700, 22, 2025-04-06 13:22:45.719, 5.07, 2025-04-06 13:22:45.722, 3.75, 2025-04-06 13:22:45.741, 11.85
2025-04-06 13:22:44.797, 10.05, 2025-04-06 13:22:45.802, 22, 2025-04-06 13:22:45.820, 4.88, 2025-04-06 13:22:45.823, 3.75, 2025-04-06 13:22:45.842, 11.96
2025-04-06 13:22:44.898, 10.13, 2025-04-06 13:22:45.902, 3, 2025-04-06 13:22:45.921, 4.90, 2025-04-06 13:22:45.925, 3.75, 2025-04-06 13:22:45.942, 11.93
2025-04-06 13:22:45.000, 10.50, 2025-04-06 13:22:46.004, 3, 2025-04-06 13:22:46.022, 4.91, 2025-04-06 13:22:46.025, 3.75, 2025-04-06 13:22:46.043, 11.93
2025-04-06 13:22:45.101, 10.83, 2025-04-06 13:22:46.104, 0, 2025-04-06 13:22:46.123, 4.92, 2025-04-06 13:22:46.126, 3.75, 2025-04-06 13:22:46.143, 11.81
2025-04-06 13:22:45.202, 10.84, 2025-04-06 13:22:46.207, 0, 2025-04-06 13:22:46.225, 4.94, 2025-04-06 13:22:46.229, 3.75, 2025-04-06 13:22:46.246, 11.83
2025-04-06 13:22:45.303, 10.80, 2025-04-06 13:22:46.307, 1, 2025-04-06 13:22:46.325, 4.94, 2025-04-06 13:22:46.329, 3.75, 2025-04-06 13:22:46.346, 11.63
2025-04-06 13:22:45.404, 10.68, 2025-04-06 13:22:46.409, 1, 2025-04-06 13:22:46.427, 4.94, 2025-04-06 13:22:46.431, 3.75, 2025-04-06 13:22:46.449, 11.64
2025-04-06 13:22:45.506, 10.62, 2025-04-06 13:22:46.510, 1, 2025-04-06 13:22:46.528, 4.94, 2025-04-06 13:22:46.531, 3.75, 2025-04-06 13:22:46.549, 11.21
2025-04-06 13:22:45.607, 10.62, 2025-04-06 13:22:46.611, 1, 2025-04-06 13:22:46.629, 4.95, 2025-04-06 13:22:46.632, 3.75, 2025-04-06 13:22:46.650, 11.24
2025-04-06 13:22:45.708, 10.78, 2025-04-06 13:22:46.712, 2, 2025-04-06 13:22:46.731, 4.91, 2025-04-06 13:22:46.734, 3.75, 2025-04-06 13:22:46.751, 11.12
2025-04-06 13:22:45.809, 10.98, 2025-04-06 13:22:46.813, 2, 2025-04-06 13:22:46.831, 4.91, 2025-04-06 13:22:46.834, 3.75, 2025-04-06 13:22:46.851, 11.15
2025-04-06 13:22:45.911, 11.08, 2025-04-06 13:22:46.915, 3, 2025-04-06 13:22:46.934, 4.89, 2025-04-06 13:22:46.937, 3.75, 2025-04-06 13:22:46.954, 11.05
